Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,93,1,1993-04-30,CHI,,ATL,W 114-90,*,29:00,15,26,.577,2,4,.500,13,22,.591,.615,3,4,.750,3,4,7,5,0,0,0,3,35,28.0
2,94,2,1993-05-02,CHI,,ATL,W 117-102,*,38:00,10,24,.417,2,4,.500,8,20,.400,.458,7,8,.875,0,6,6,4,3,4,0,5,29,24.2
3,95,3,1993-05-04,CHI,@,ATL,W 98-88,*,40:00,16,28,.571,2,5,.400,14,23,.609,.607,5,5,1.000,0,7,7,4,2,1,4,4,39,27.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,96,4,1993-05-11,CHI,,CLE,W 91-84,*,42:00,16,30,.533,0,4,.000,16,26,.615,.533,11,11,1.000,0,0,0,4,3,1,3,3,43,30.7
5,97,5,1993-05-13,CHI,,CLE,W 104-85,*,31:00,8,18,.444,0,2,.000,8,16,.500,.444,2,5,.400,2,3,5,6,2,0,2,0,18,13.9
6,98,6,1993-05-15,CHI,@,CLE,W 96-90,*,40:00,12,24,.500,0,1,.000,12,23,.522,.500,8,10,.800,2,4,6,5,2,0,2,1,32,24.9
7,99,7,1993-05-17,CHI,@,CLE,W 103-101,*,40:00,11,24,.458,2,2,1.000,9,22,.409,.500,7,9,.778,3,6,9,6,2,1,4,2,31,23.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,100,8,1993-05-23,CHI,@,NYK,L 90-98,*,43:00,10,27,.370,2,4,.500,8,23,.348,.407,5,6,.833,1,1,2,5,4,0,1,5,27,17.2
9,101,9,1993-05-25,CHI,@,NYK,L 91-96,*,39:00,12,32,.375,1,7,.143,11,25,.440,.391,11,13,.846,3,6,9,1,2,0,3,3,36,20.0
10,102,10,1993-05-29,CHI,,NYK,W 103-83,*,38:00,3,18,.167,0,0,,3,18,.167,.167,16,17,.941,1,7,8,11,2,2,2,1,22,21.7
11,103,11,1993-05-31,CHI,,NYK,W 105-95,*,39:00,18,30,.600,6,9,.667,12,21,.571,.700,12,14,.857,0,6,6,2,2,1,2,5,54,41.3
12,104,12,1993-06-02,CHI,@,NYK,W 97-94,*,45:00,11,24,.458,0,1,.000,11,23,.478,.458,7,9,.778,2,8,10,14,2,1,5,2,29,26.3
13,105,13,1993-06-04,CHI,,NYK,W 96-88,*,45:00,8,24,.333,1,4,.250,7,20,.350,.354,8,9,.889,0,2,2,9,3,2,1,4,25,19.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,106,14,1993-06-09,CHI,@,PHO,W 100-92,*,43:00,14,28,.500,0,1,.000,14,27,.519,.500,3,4,.750,2,5,7,5,5,1,2,2,31,25.9
15,107,15,1993-06-11,CHI,@,PHO,W 111-108,*,40:00,18,36,.500,2,2,1.000,16,34,.471,.528,4,5,.800,5,7,12,9,2,0,5,2,42,31.7
16,108,16,1993-06-13,CHI,,PHO,L 121-129 (3OT),*,57:00,19,43,.442,3,9,.333,16,34,.471,.477,3,6,.500,3,6,9,6,2,1,3,5,44,26.1
17,109,17,1993-06-16,CHI,,PHO,W 111-105,*,46:00,21,37,.568,0,1,.000,21,36,.583,.568,13,18,.722,1,7,8,4,0,0,1,3,55,38.9
18,110,18,1993-06-18,CHI,,PHO,L 98-108,*,44:00,16,29,.552,2,7,.286,14,22,.636,.586,7,10,.700,1,6,7,7,0,2,2,5,41,30.7
19,111,19,1993-06-20,CHI,@,PHO,W 99-98,*,44:00,13,26,.500,3,5,.600,10,21,.476,.558,4,6,.667,3,5,8,7,1,0,3,3,33,24.5
