Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,41,1,2016-04-16,GSW,,HOU,W 104-78,*,32:31,4,14,.286,2,6,.333,2,8,.250,.357,6,6,1.000,2,3,5,4,1,0,2,2,16,11.1,22
2,42,2,2016-04-18,GSW,,HOU,W 115-106,*,36:42,8,20,.400,3,8,.375,5,12,.417,.475,15,16,.938,1,2,3,5,1,0,4,4,34,23.0,16
3,43,3,2016-04-21,GSW,@,HOU,L 96-97,*,40:14,7,20,.350,0,7,.000,7,13,.538,.350,3,5,.600,1,7,8,2,2,0,1,2,17,9.4,-7
4,44,4,2016-04-24,GSW,@,HOU,W 121-94,*,30:47,8,15,.533,7,11,.636,1,4,.250,.767,0,0,,0,2,2,5,2,0,1,1,23,20.4,23
5,45,5,2016-04-27,GSW,,HOU,W 114-81,*,29:18,10,14,.714,7,11,.636,3,3,1.000,.964,0,1,.000,0,3,3,1,1,0,2,1,27,21.0,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,46,6,2016-05-01,GSW,,POR,W 118-106,*,37:02,14,28,.500,7,14,.500,7,14,.500,.625,2,3,.667,2,3,5,5,2,0,2,1,37,28.0,23
7,47,7,2016-05-03,GSW,,POR,W 110-99,*,39:32,7,20,.350,5,14,.357,2,6,.333,.475,8,8,1.000,0,3,3,3,0,0,2,3,27,15.6,9
8,48,8,2016-05-07,GSW,@,POR,L 108-120,*,37:53,14,28,.500,5,9,.556,9,19,.474,.589,2,2,1.000,0,1,1,1,1,1,3,1,35,20.3,-3
9,49,9,2016-05-09,GSW,@,POR,W 132-125 (OT),*,42:05,7,18,.389,5,10,.500,2,8,.250,.528,4,4,1.000,1,3,4,2,2,0,1,3,23,16.0,8
10,50,10,2016-05-11,GSW,,POR,W 125-121,*,34:37,13,17,.765,6,9,.667,7,8,.875,.941,1,1,1.000,0,2,2,1,0,1,1,4,33,25.7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,51,11,2016-05-16,GSW,,OKC,L 102-108,*,39:35,11,25,.440,3,8,.375,8,17,.471,.500,0,0,,1,8,9,4,0,0,2,4,25,14.2,-3
12,52,12,2016-05-18,GSW,,OKC,W 118-91,*,29:56,5,17,.294,2,8,.250,3,9,.333,.353,3,4,.750,0,2,2,4,1,0,2,0,15,7.1,26
13,53,13,2016-05-22,GSW,@,OKC,L 105-133,*,24:13,8,19,.421,2,7,.286,6,12,.500,.474,0,0,,0,1,1,1,0,0,3,1,18,5.5,-41
14,54,14,2016-05-24,GSW,@,OKC,L 94-118,*,29:11,9,17,.529,4,11,.364,5,6,.833,.647,4,4,1.000,0,5,5,1,3,1,1,4,26,21.0,-14
15,55,15,2016-05-26,GSW,,OKC,W 120-111,*,36:58,8,21,.381,2,9,.222,6,12,.500,.429,9,10,.900,0,5,5,2,1,0,3,4,27,14.4,5
16,56,16,2016-05-28,GSW,@,OKC,W 108-101,*,39:35,14,31,.452,11,18,.611,3,13,.231,.629,2,2,1.000,1,3,4,0,1,1,1,4,41,25.6,16
17,57,17,2016-05-30,GSW,,OKC,W 96-88,*,41:54,7,19,.368,6,11,.545,1,8,.125,.526,1,2,.500,2,3,5,0,1,1,1,1,21,12.7,-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,58,18,2016-06-02,GSW,,CLE,W 104-89,*,24:23,4,12,.333,1,5,.200,3,7,.429,.375,0,1,.000,0,5,5,2,0,2,0,3,9,4.9,5
19,59,19,2016-06-05,GSW,,CLE,W 110-77,*,31:29,6,13,.462,4,8,.500,2,5,.400,.615,1,1,1.000,0,2,2,5,2,0,4,1,17,12.0,23
20,60,20,2016-06-08,GSW,@,CLE,L 90-120,*,30:39,4,13,.308,1,7,.143,3,6,.500,.346,1,3,.333,1,1,2,1,1,0,2,1,10,2.0,-27
21,61,21,2016-06-10,GSW,@,CLE,W 108-97,*,39:23,7,14,.500,4,9,.444,3,5,.600,.643,7,7,1.000,0,4,4,1,1,1,1,2,25,19.8,10
22,62,22,2016-06-13,GSW,,CLE,L 97-112,*,40:31,11,20,.550,6,11,.545,5,9,.556,.700,9,9,1.000,0,3,3,1,0,0,1,2,37,27.2,-21
23,63,23,2016-06-16,GSW,@,CLE,L 101-115,*,38:05,9,21,.429,3,10,.300,6,11,.545,.500,4,7,.571,2,1,3,1,2,1,4,2,25,13.0,-22
24,64,24,2016-06-19,GSW,,CLE,L 89-93,*,42:17,6,17,.353,2,10,.200,4,7,.571,.412,0,0,,1,1,2,2,1,0,3,2,14,4.1,-11
,,,,,,,15-9,24,850,201,453,.444,98,231,.424,103,222,.464,.552,82,96,.854,15,73,88,54,26,9,47,53,582,15.6,64
