Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,8,1,1987-04-23,CHI,@,BOS,L 104-108,*,44:00,12,25,.480,0,1,.000,12,24,.500,.480,11,11,1.000,0,6,6,7,4,2,2,4,35,30.8
2,9,2,1987-04-26,CHI,@,BOS,L 96-105,*,45:00,14,29,.483,2,3,.667,12,26,.462,.517,12,14,.857,1,3,4,4,0,4,4,3,42,28.5
3,10,3,1987-04-28,CHI,,BOS,L 94-105,*,39:00,9,30,.300,0,1,.000,9,29,.310,.300,12,14,.857,6,5,11,7,2,1,2,4,30,21.5
,,,,,,,0-3,3,128,35,84,.417,2,5,.400,33,79,.418,.429,35,39,.897,7,14,21,18,6,7,8,11,107,26.9
