Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,668,66,1995-03-19,CHI,@,IND,L 96-103 (OT),*,43:00,7,28,.250,0,4,.000,7,24,.292,.250,5,6,.833,2,4,6,6,3,0,3,3,19,7.4
2,669,67,1995-03-22,CHI,@,BOS,W 124-107,*,26:00,9,17,.529,1,3,.333,8,14,.571,.559,8,8,1.000,0,3,3,3,2,1,0,4,27,22.8
3,670,68,1995-03-24,CHI,,ORL,L 99-106,*,44:00,7,23,.304,0,2,.000,7,21,.333,.304,7,11,.636,0,4,4,8,5,2,2,2,21,16.5
4,671,69,1995-03-25,CHI,@,ATL,W 99-98,*,43:00,14,26,.538,0,1,.000,14,25,.560,.538,4,4,1.000,0,4,4,2,1,0,0,2,32,22.2
5,672,70,1995-03-28,CHI,@,NYK,W 113-111,*,39:00,21,37,.568,3,4,.750,18,33,.545,.608,10,11,.909,0,4,4,2,1,0,2,3,55,37.5
6,673,71,1995-03-30,CHI,,BOS,W 100-82,*,39:00,8,17,.471,2,2,1.000,6,15,.400,.529,5,7,.714,0,11,11,6,0,0,4,2,23,16.2
7,674,72,1995-04-01,CHI,,PHI,W 91-84,*,35:00,5,19,.263,0,1,.000,5,18,.278,.263,2,4,.500,1,4,5,6,1,1,3,2,12,3.9
8,675,73,1995-04-05,CHI,@,NJN,W 108-101,*,43:00,13,31,.419,1,1,1.000,12,30,.400,.435,10,14,.714,3,8,11,2,3,1,2,3,37,25.3
9,676,74,1995-04-07,CHI,,CLE,W 97-88,*,42:00,9,27,.333,1,2,.500,8,25,.320,.352,9,10,.900,0,8,8,9,2,1,4,5,28,17.7
10,677,75,1995-04-09,CHI,@,CLE,L 78-79,*,46:00,9,26,.346,2,3,.667,7,23,.304,.385,1,2,.500,4,5,9,5,1,1,3,2,21,11.7
11,678,76,1995-04-11,CHI,,IND,W 96-89,*,42:00,8,27,.296,1,1,1.000,7,26,.269,.315,8,10,.800,2,9,11,6,1,2,1,4,25,16.6
12,679,77,1995-04-12,CHI,@,DET,W 124-113,*,44:00,12,23,.522,1,2,.500,11,21,.524,.543,4,4,1.000,1,8,9,9,0,0,4,4,29,21.5
13,680,78,1995-04-16,CHI,,NYK,W 111-90,*,37:00,8,19,.421,0,0,,8,19,.421,.421,12,14,.857,4,2,6,4,3,1,1,2,28,25.2
14,681,79,1995-04-17,CHI,@,MIA,W 98-93,*,40:00,9,21,.429,0,0,,9,21,.429,.429,13,16,.813,0,5,5,4,3,0,1,2,31,24.2
15,682,80,1995-04-20,CHI,,DET,W 120-105,*,27:00,8,18,.444,0,0,,8,18,.444,.444,1,1,1.000,4,4,8,7,1,2,0,2,17,18.1
16,683,81,1995-04-22,CHI,,CHH,W 116-100,*,33:00,8,16,.500,0,2,.000,8,14,.571,.500,3,4,.750,0,2,2,4,0,0,1,1,19,12.6
17,684,82,1995-04-23,CHI,@,MIL,L 100-104,*,45:00,11,29,.379,4,4,1.000,7,25,.280,.448,7,10,.700,4,7,11,7,3,1,4,4,33,23.8
