Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,538,1,2018-10-16,GSW,,OKC,W 108-100,*,34:59,5,20,.250,1,8,.125,4,12,.333,.275,3,3,1.000,1,3,4,0,0,0,2,3,14,0.4,2
2,539,2,2018-10-19,GSW,@,UTA,W 124-123,*,35:53,4,9,.444,0,2,.000,4,7,.571,.444,4,4,1.000,1,3,4,1,0,1,2,2,12,7.5,-8
3,540,3,2018-10-21,GSW,@,DEN,L 98-100,*,36:19,7,16,.438,1,6,.167,6,10,.600,.469,0,0,,0,7,7,0,1,1,3,3,15,6.2,-1
4,541,4,2018-10-22,GSW,,PHO,W 123-103,*,25:08,6,14,.429,1,6,.167,5,8,.625,.464,3,3,1.000,0,3,3,4,0,2,0,1,16,13.3,22
5,542,5,2018-10-24,GSW,,WAS,W 144-122,*,29:35,8,17,.471,1,5,.200,7,12,.583,.500,2,2,1.000,0,2,2,1,1,0,1,2,19,10.8,14
6,543,6,2018-10-26,GSW,@,NYK,W 128-100,*,33:43,6,18,.333,0,4,.000,6,14,.429,.333,0,0,,0,4,4,3,1,0,2,2,12,3.3,8
7,544,7,2018-10-28,GSW,@,BRK,W 120-114,*,35:35,8,17,.471,1,5,.200,7,12,.583,.500,1,2,.500,2,3,5,0,1,1,1,4,18,10.3,-5
8,545,8,2018-10-29,GSW,@,CHI,W 149-124,*,26:33,18,29,.621,14,24,.583,4,5,.800,.862,2,2,1.000,0,4,4,0,2,0,2,2,52,39.3,28
9,546,9,2018-10-31,GSW,,NOP,W 131-121,*,37:00,7,17,.412,1,4,.250,6,13,.462,.441,3,5,.600,1,3,4,4,1,0,3,2,18,9.7,-5
10,547,10,2018-11-02,GSW,,MIN,W 116-99,*,36:18,9,17,.529,4,9,.444,5,8,.625,.647,0,0,,0,4,4,1,0,0,2,2,22,12.8,25
11,548,11,2018-11-05,GSW,,MEM,W 117-101,*,32:15,11,21,.524,3,7,.429,8,14,.571,.595,2,2,1.000,0,2,2,3,1,0,1,0,27,19.4,6
12,549,12,2018-11-08,GSW,,MIL,L 111-134,*,33:16,9,15,.600,2,2,1.000,7,13,.538,.667,4,6,.667,1,2,3,3,1,2,1,2,24,20.3,-26
13,550,13,2018-11-10,GSW,,BRK,W 116-100,*,28:43,11,20,.550,2,5,.400,9,15,.600,.600,0,2,.000,0,1,1,1,2,1,3,3,24,13.1,9
14,551,14,2018-11-12,GSW,@,LAC,L 116-121 (OT),*,45:19,13,31,.419,5,16,.313,8,15,.533,.500,0,0,,1,2,3,2,2,1,3,2,31,16.1,-4
15,552,15,2018-11-13,GSW,,ATL,W 110-103,*,38:16,8,19,.421,3,7,.429,5,12,.417,.500,5,5,1.000,0,5,5,4,3,0,1,0,24,20.2,12
16,553,16,2018-11-15,GSW,@,HOU,L 86-107,*,29:27,5,16,.313,0,5,.000,5,11,.455,.313,0,0,,1,2,3,0,0,2,3,2,10,-0.3,-7
17,554,17,2018-11-17,GSW,@,DAL,L 109-112,*,37:45,9,24,.375,2,11,.182,7,13,.538,.417,2,2,1.000,0,3,3,4,2,0,1,3,22,12.3,-5
18,555,18,2018-11-18,GSW,@,SAS,L 92-104,*,37:57,11,26,.423,3,11,.273,8,15,.533,.481,0,1,.000,0,2,2,2,0,0,4,3,25,7.6,-17
19,556,19,2018-11-21,GSW,,OKC,L 95-123,*,30:33,10,22,.455,3,8,.375,7,14,.500,.523,4,7,.571,0,4,4,3,1,0,2,4,27,15.1,-12
20,557,20,2018-11-23,GSW,,POR,W 125-97,*,32:51,12,21,.571,4,9,.444,8,12,.667,.667,3,3,1.000,0,7,7,1,2,1,4,1,31,22.2,13
21,558,21,2018-11-24,GSW,,SAC,W 117-116,*,36:17,12,26,.462,5,12,.417,7,14,.500,.558,2,2,1.000,1,3,4,0,0,0,1,2,31,17.4,13
22,559,22,2018-11-26,GSW,,ORL,W 116-110,*,40:13,11,23,.478,6,12,.500,5,11,.455,.609,1,2,.500,0,5,5,1,0,2,1,2,29,18.7,-2
23,560,23,2018-11-29,GSW,@,TOR,L 128-131 (OT),*,43:50,9,20,.450,3,9,.333,6,11,.545,.525,2,2,1.000,0,3,3,3,0,1,4,3,23,11.1,-15
24,561,24,2018-12-01,GSW,@,DET,L 102-111,*,35:52,10,20,.500,1,5,.200,9,15,.600,.525,0,0,,0,8,8,1,2,0,1,1,21,14.7,3
25,562,25,2018-12-03,GSW,@,ATL,W 128-111,*,32:01,10,20,.500,3,5,.600,7,15,.467,.575,4,4,1.000,0,8,8,2,1,0,2,0,27,19.8,24
26,563,26,2018-12-05,GSW,@,CLE,W 129-105,*,31:49,5,15,.333,2,6,.333,3,9,.333,.400,4,5,.800,0,4,4,2,0,1,1,1,16,9.0,1
27,564,27,2018-12-07,GSW,@,MIL,W 105-95,*,34:44,8,16,.500,4,9,.444,4,7,.571,.625,0,0,,0,5,5,6,4,2,3,2,20,19.3,2
28,565,28,2018-12-10,GSW,,MIN,W 116-108,*,36:31,8,22,.364,4,7,.571,4,15,.267,.455,6,6,1.000,0,2,2,1,1,1,4,0,26,12.8,7
29,566,29,2018-12-12,GSW,,TOR,L 93-113,*,34:07,7,17,.412,0,5,.000,7,12,.583,.412,0,0,,0,3,3,2,1,0,0,1,14,7.8,-20
30,567,30,2018-12-14,GSW,@,SAC,W 130-125,*,37:44,10,27,.370,4,12,.333,6,15,.400,.444,3,4,.750,1,8,9,3,1,0,0,2,27,17.1,8
31,568,31,2018-12-17,GSW,,MEM,W 110-93,*,31:42,6,11,.545,1,4,.250,5,7,.714,.591,3,4,.750,1,4,5,3,3,1,0,1,16,17.6,13
32,569,32,2018-12-19,GSW,@,UTA,L 103-108,*,36:36,3,12,.250,0,4,.000,3,8,.375,.250,6,6,1.000,1,5,6,3,3,1,1,4,12,10.2,-6
33,570,33,2018-12-22,GSW,,DAL,W 120-116,*,33:00,6,15,.400,0,5,.000,6,10,.600,.400,2,2,1.000,0,5,5,4,2,1,2,2,14,10.1,-12
34,571,34,2018-12-23,GSW,,LAC,W 129-127,*,36:28,4,15,.267,2,6,.333,2,9,.222,.333,2,2,1.000,0,0,0,2,0,2,0,4,12,4.3,4
