Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,65,1,2017-04-16,GSW,,POR,W 121-109,*,35:21,6,16,.375,1,6,.167,5,10,.500,.406,2,2,1.000,2,1,3,2,1,1,2,1,15,8.6,14
2,66,2,2017-04-19,GSW,,POR,W 110-81,*,30:44,6,17,.353,3,8,.375,3,9,.333,.441,1,1,1.000,1,1,2,2,0,1,5,2,16,3.8,29
3,67,3,2017-04-22,GSW,@,POR,W 119-113,*,40:38,8,21,.381,4,9,.444,4,12,.333,.476,4,6,.667,0,2,2,0,3,0,2,4,24,11.7,-2
4,68,4,2017-04-24,GSW,@,POR,W 128-103,*,30:25,6,13,.462,3,5,.600,3,8,.375,.577,3,4,.750,0,2,2,1,0,0,0,0,18,12.2,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,69,5,2017-05-02,GSW,,UTA,W 106-94,*,30:35,6,13,.462,3,8,.375,3,5,.600,.577,0,0,,0,2,2,2,0,0,0,2,15,9.5,23
6,70,6,2017-05-04,GSW,,UTA,W 115-104,*,35:57,6,13,.462,2,4,.500,4,9,.444,.538,0,0,,1,5,6,6,2,0,1,2,14,13.9,9
7,71,7,2017-05-06,GSW,@,UTA,W 102-91,*,39:00,1,9,.111,0,4,.000,1,5,.200,.111,4,4,1.000,0,1,1,0,1,0,0,3,6,0.2,4
8,72,8,2017-05-08,GSW,@,UTA,W 121-95,*,32:33,9,16,.563,1,3,.333,8,13,.615,.594,2,2,1.000,0,2,2,1,2,0,5,4,21,10.1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,73,9,2017-05-14,GSW,,SAS,W 113-111,*,38:41,2,11,.182,1,3,.333,1,8,.125,.227,1,2,.500,1,3,4,3,3,2,2,5,6,2.8,5
10,74,10,2017-05-16,GSW,,SAS,W 136-100,*,29:04,4,10,.400,2,5,.400,2,5,.400,.500,1,1,1.000,1,5,6,4,0,0,3,1,11,7.2,25
11,75,11,2017-05-20,GSW,@,SAS,W 120-108,*,36:08,7,15,.467,3,6,.500,4,9,.444,.567,0,0,,1,5,6,2,0,0,0,2,17,12.1,15
12,76,12,2017-05-22,GSW,@,SAS,W 129-115,*,33:55,3,13,.231,1,5,.200,2,8,.250,.269,3,4,.750,0,6,6,1,0,0,0,2,10,3.4,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,77,13,2017-06-01,GSW,,CLE,W 113-91,*,36:22,3,16,.188,0,5,.000,3,11,.273,.188,0,0,,2,2,4,4,1,0,0,3,6,0.6,8
14,78,14,2017-06-04,GSW,,CLE,W 132-113,*,37:07,8,12,.667,4,7,.571,4,5,.800,.833,2,3,.667,1,6,7,1,0,0,2,2,22,16.8,24
15,79,15,2017-06-07,GSW,@,CLE,W 118-113,*,40:40,11,18,.611,6,11,.545,5,7,.714,.778,2,2,1.000,0,5,5,2,0,0,1,4,30,22.1,3
16,80,16,2017-06-09,GSW,@,CLE,L 116-137,*,34:19,4,11,.364,4,10,.400,0,1,.000,.545,1,2,.500,0,3,3,2,0,0,1,3,13,6.6,-6
17,81,17,2017-06-12,GSW,,CLE,W 129-120,*,34:05,4,13,.308,3,7,.429,1,6,.167,.423,0,0,,1,4,5,2,1,1,0,4,11,6.9,-6
,,,,,,,16-1,17,596,94,237,.397,41,106,.387,53,131,.405,.483,26,33,.788,11,55,66,35,14,5,24,44,255,8.7,193
