Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,307,1,2015-10-27,GSW,,NOP,W 111-95,*,26:26,3,8,.375,0,2,.000,3,6,.500,.375,3,3,1.000,0,5,5,3,1,1,7,5,9,0.9,4
2,308,2,2015-10-30,GSW,@,HOU,W 112-92,*,24:03,4,10,.400,1,5,.200,3,5,.600,.450,2,2,1.000,0,2,2,0,1,0,2,3,11,4.0,7
3,309,3,2015-10-31,GSW,@,NOP,W 134-120,*,27:20,6,12,.500,2,5,.400,4,7,.571,.583,5,5,1.000,0,3,3,1,0,1,0,4,19,13.7,9
4,310,4,2015-11-02,GSW,,MEM,W 119-69,*,26:27,6,11,.545,2,3,.667,4,8,.500,.636,0,0,,0,7,7,2,0,2,2,0,14,11.6,41
5,311,5,2015-11-04,GSW,,LAC,W 112-108,*,32:27,7,18,.389,0,2,.000,7,16,.438,.389,2,2,1.000,1,4,5,5,2,1,2,2,16,11.5,2
6,312,6,2015-11-06,GSW,,DEN,W 119-104,*,30:13,7,16,.438,4,8,.500,3,8,.375,.563,0,0,,0,6,6,5,0,0,1,0,18,13.9,13
7,313,7,2015-11-07,GSW,@,SAC,W 103-94,*,35:39,7,16,.438,4,11,.364,3,5,.600,.563,0,0,,0,3,3,3,0,1,3,4,18,8.7,-4
8,314,8,2015-11-09,GSW,,DET,W 109-95,*,32:18,10,17,.588,4,7,.571,6,10,.600,.706,0,0,,0,3,3,1,2,0,2,1,24,17.3,9
9,315,9,2015-11-11,GSW,@,MEM,W 100-84,*,34:37,3,9,.333,2,5,.400,1,4,.250,.444,0,0,,2,5,7,2,1,2,3,3,8,5.4,11
10,316,10,2015-11-12,GSW,@,MIN,W 129-116,*,37:25,6,16,.375,3,9,.333,3,7,.429,.469,0,0,,0,2,2,2,1,1,4,1,15,5.5,28
10,,11,2015-11-14,GSW,,BRK,W 107-99 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
11,317,12,2015-11-17,GSW,,TOR,W 115-110,*,34:18,8,19,.421,2,9,.222,6,10,.600,.474,1,2,.500,0,1,1,3,0,0,0,3,19,9.7,4
12,318,13,2015-11-19,GSW,@,LAC,W 124-117,*,38:59,6,12,.500,3,5,.600,3,7,.429,.625,10,12,.833,2,1,3,2,0,0,2,2,25,18.5,6
13,319,14,2015-11-20,GSW,,CHI,W 106-94,*,36:01,6,12,.500,2,4,.500,4,8,.500,.583,1,2,.500,1,2,3,3,0,1,1,3,15,10.5,8
14,320,15,2015-11-22,GSW,@,DEN,W 118-105,*,31:37,7,16,.438,4,7,.571,3,9,.333,.563,3,4,.750,0,3,3,7,0,1,1,2,21,16.9,9
15,321,16,2015-11-24,GSW,,LAL,W 111-77,*,27:41,3,12,.250,2,6,.333,1,6,.167,.333,3,4,.750,0,3,3,2,0,1,1,0,11,5.4,27
16,322,17,2015-11-27,GSW,@,PHO,W 135-116,*,26:46,6,11,.545,3,8,.375,3,3,1.000,.682,0,0,,0,2,2,0,0,1,2,4,15,7.4,16
17,323,18,2015-11-28,GSW,,SAC,W 120-101,*,26:00,6,10,.600,3,6,.500,3,4,.750,.750,0,0,,0,0,0,2,1,0,2,1,15,10.4,15
18,324,19,2015-11-30,GSW,@,UTA,W 106-103,*,35:48,8,15,.533,4,7,.571,4,8,.500,.667,0,0,,1,4,5,2,0,2,0,1,20,17.0,4
19,325,20,2015-12-02,GSW,@,CHO,W 116-99,*,29:06,8,18,.444,4,10,.400,4,8,.500,.556,1,2,.500,0,3,3,0,1,1,2,3,21,10.6,9
20,326,21,2015-12-05,GSW,@,TOR,W 112-109,*,35:26,7,15,.467,6,9,.667,1,6,.167,.667,6,6,1.000,0,4,4,1,0,0,2,4,26,16.6,12
21,327,22,2015-12-06,GSW,@,BRK,W 114-98,*,32:11,8,18,.444,3,10,.300,5,8,.625,.528,2,2,1.000,0,3,3,3,1,2,1,1,21,15.6,6
22,328,23,2015-12-08,GSW,@,IND,W 131-123,*,34:28,13,21,.619,10,16,.625,3,5,.600,.857,3,3,1.000,1,6,7,6,0,1,4,2,39,32.1,19
