Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,20,1,2015-04-18,GSW,,NOP,W 106-99,*,36:37,6,17,.353,3,6,.500,3,11,.273,.441,6,9,.667,0,1,1,3,1,2,5,3,21,8.9,-6
2,21,2,2015-04-20,GSW,,NOP,W 97-87,*,32:38,11,17,.647,3,8,.375,8,9,.889,.735,1,1,1.000,1,2,3,3,1,0,0,3,26,21.7,15
3,22,3,2015-04-23,GSW,@,NOP,W 123-119 (OT),*,45:59,9,21,.429,6,12,.500,3,9,.333,.571,4,5,.800,1,5,6,2,0,2,2,3,28,18.3,18
4,23,4,2015-04-25,GSW,@,NOP,W 109-98,*,36:00,10,19,.526,4,7,.571,6,12,.500,.632,1,1,1.000,0,3,3,0,1,1,0,0,25,18.3,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24,5,2015-05-03,GSW,,MEM,W 101-86,*,37:33,8,16,.500,2,5,.400,6,11,.545,.563,0,0,,0,3,3,6,1,0,4,1,18,11.7,16
6,25,6,2015-05-05,GSW,,MEM,L 90-97,*,34:09,6,15,.400,1,6,.167,5,9,.556,.433,0,0,,0,4,4,2,1,1,5,3,13,3.0,-15
7,26,7,2015-05-09,GSW,@,MEM,L 89-99,*,36:43,8,13,.615,3,6,.500,5,7,.714,.731,1,4,.250,2,6,8,2,1,2,3,5,20,14.9,5
8,27,8,2015-05-11,GSW,@,MEM,W 101-84,*,39:56,6,15,.400,3,6,.500,3,9,.333,.500,0,0,,0,2,2,2,2,1,3,2,15,7.8,18
9,28,9,2015-05-13,GSW,,MEM,W 98-78,*,38:38,7,16,.438,3,4,.750,4,12,.333,.531,4,4,1.000,0,4,4,5,0,0,2,1,21,14.9,8
10,29,10,2015-05-15,GSW,@,MEM,W 108-95,*,36:50,7,13,.538,3,5,.600,4,8,.500,.654,3,3,1.000,2,6,8,3,0,0,3,2,20,15.2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30,11,2015-05-19,GSW,,HOU,W 110-106,*,32:58,6,18,.333,1,7,.143,5,11,.455,.361,2,2,1.000,0,2,2,4,1,1,2,5,15,5.9,-2
12,31,12,2015-05-21,GSW,,HOU,W 99-98,*,33:19,6,15,.400,1,7,.143,5,8,.625,.433,0,0,,0,4,4,1,0,1,2,4,13,3.9,-13
13,32,13,2015-05-23,GSW,@,HOU,W 115-80,*,32:10,6,16,.375,2,8,.250,4,8,.500,.438,3,4,.750,0,3,3,5,1,2,1,2,17,12.8,32
14,33,14,2015-05-25,GSW,@,HOU,L 115-128,*,38:03,9,21,.429,6,13,.462,3,8,.375,.571,0,0,,1,2,3,2,2,0,4,5,24,11.6,-9
15,34,15,2015-05-27,GSW,,HOU,W 104-90,*,22:08,8,14,.571,4,6,.667,4,8,.500,.714,0,0,,0,1,1,4,1,0,0,5,20,15.5,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,35,16,2015-06-04,GSW,,CLE,W 108-100 (OT),*,38:46,5,14,.357,3,9,.333,2,5,.400,.464,8,8,1.000,1,5,6,1,1,2,1,1,21,17.1,5
17,36,17,2015-06-07,GSW,,CLE,L 93-95 (OT),*,45:51,14,28,.500,4,12,.333,10,16,.625,.571,2,3,.667,0,5,5,2,2,1,0,4,34,23.6,-1
18,37,18,2015-06-09,GSW,@,CLE,L 91-96,*,38:49,6,16,.375,2,7,.286,4,9,.444,.438,0,0,,1,4,5,1,0,1,1,4,14,5.9,-1
19,38,19,2015-06-11,GSW,@,CLE,W 103-82,*,39:06,4,9,.444,1,5,.200,3,4,.750,.500,0,0,,0,2,2,2,0,1,0,0,9,7.0,15
20,39,20,2015-06-14,GSW,,CLE,W 104-91,*,40:05,5,14,.357,1,4,.250,4,10,.400,.393,1,1,1.000,0,3,3,2,0,0,1,5,12,3.5,11
21,40,21,2015-06-16,GSW,@,CLE,W 105-97,*,24:40,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,0,5,5,2,0,1,2,6,5,0.1,2
,,,,,,,16-5,21,763,149,334,.446,57,146,.390,92,188,.489,.531,36,45,.800,9,72,81,54,16,19,41,64,391,11.5,121
