Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,124,1,2022-04-16,GSW,,DEN,W 123-107,*,29:05,7,15,.467,5,10,.500,2,5,.400,.633,0,0,,0,3,3,2,0,0,3,2,19,9.8,5
2,125,2,2022-04-18,GSW,,DEN,W 126-106,*,35:48,9,19,.474,3,8,.375,6,11,.545,.553,0,0,,0,2,2,1,0,1,0,3,21,12.1,13
3,126,3,2022-04-21,GSW,@,DEN,W 118-113,*,37:27,10,18,.556,6,13,.462,4,5,.800,.722,0,0,,0,1,1,1,0,2,1,0,26,18.8,2
4,127,4,2022-04-24,GSW,@,DEN,L 121-126,*,30:42,12,20,.600,7,11,.636,5,9,.556,.775,1,2,.500,1,3,4,0,2,0,2,5,32,22.0,9
5,128,5,2022-04-27,GSW,,DEN,W 102-98,*,39:33,5,13,.385,1,6,.167,4,7,.571,.423,4,4,1.000,1,8,9,3,4,1,0,2,15,17.0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,129,6,2022-05-01,GSW,@,MEM,W 117-116,*,30:34,6,19,.316,3,10,.300,3,9,.333,.395,0,2,.000,0,1,1,3,2,1,0,3,15,7.2,0
7,130,7,2022-05-03,GSW,@,MEM,L 101-106,*,41:10,5,19,.263,2,12,.167,3,7,.429,.316,0,0,,0,2,2,3,3,0,1,2,12,4.6,-9
8,131,8,2022-05-07,GSW,,MEM,W 142-112,*,35:04,8,14,.571,4,6,.667,4,8,.500,.714,1,1,1.000,0,9,9,4,0,0,2,1,21,17.5,22
9,132,9,2022-05-09,GSW,,MEM,W 101-98,*,38:25,6,20,.300,0,7,.000,6,13,.462,.300,2,2,1.000,1,6,7,2,1,2,3,0,14,5.7,-3
10,133,10,2022-05-11,GSW,@,MEM,L 95-134,*,25:21,7,12,.583,3,6,.500,4,6,.667,.708,2,2,1.000,0,3,3,1,1,0,2,3,19,12.8,-45
11,134,11,2022-05-13,GSW,,MEM,W 110-96,*,42:06,11,22,.500,8,14,.571,3,8,.375,.682,0,0,,1,7,8,2,0,3,3,2,30,21.5,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,135,12,2022-05-18,GSW,,DAL,W 112-87,*,34:34,7,13,.538,1,4,.250,6,9,.667,.577,0,0,,0,5,5,4,0,2,3,0,15,11.4,20
13,136,13,2022-05-20,GSW,,DAL,W 126-117,*,37:17,6,10,.600,1,4,.250,5,6,.833,.650,2,2,1.000,0,4,4,5,0,0,0,4,15,13.5,-9
14,137,14,2022-05-22,GSW,@,DAL,W 109-100,*,39:02,6,18,.333,3,10,.300,3,8,.375,.417,4,4,1.000,0,7,7,3,0,0,0,2,19,12.2,13
15,138,15,2022-05-24,GSW,@,DAL,L 109-119,*,28:10,5,10,.500,2,6,.333,3,4,.750,.600,0,1,.000,0,1,1,1,2,0,0,2,12,8.8,-22
16,139,16,2022-05-26,GSW,,DAL,W 120-110,*,37:20,12,25,.480,8,16,.500,4,9,.444,.640,0,0,,1,1,2,3,1,0,1,3,32,21.2,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,140,17,2022-06-02,GSW,,BOS,L 108-120,*,38:57,6,14,.429,3,7,.429,3,7,.429,.536,0,0,,1,1,2,3,0,0,0,0,15,10.7,-9
18,141,18,2022-06-05,GSW,,BOS,W 107-88,*,30:27,4,19,.211,1,8,.125,3,11,.273,.237,2,2,1.000,0,3,3,1,2,0,2,1,11,0.5,0
19,142,19,2022-06-08,GSW,@,BOS,L 100-116,*,39:02,7,17,.412,5,13,.385,2,4,.500,.559,6,6,1.000,0,3,3,3,1,1,0,1,25,20.2,-3
20,143,20,2022-06-10,GSW,@,BOS,W 107-97,*,40:50,7,17,.412,4,10,.400,3,7,.429,.529,0,0,,1,1,2,1,1,2,1,4,18,10.4,2
21,144,21,2022-06-13,GSW,,BOS,W 104-94,*,39:37,7,14,.500,5,11,.455,2,3,.667,.679,2,2,1.000,0,3,3,2,2,0,1,4,21,15.7,13
22,145,22,2022-06-16,GSW,@,BOS,W 103-90,*,41:19,5,20,.250,2,8,.250,3,12,.250,.300,0,0,,0,5,5,2,2,0,3,3,12,0.7,4
,,,,,,,16-6,22,791,158,368,.429,77,200,.385,81,168,.482,.534,26,30,.867,7,79,86,50,24,15,28,47,419,12.5,41
