Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1,1984-10-26,CHI,,WSB,W 109-93,*,40:00,5,16,.313,0,0,,5,16,.313,.313,6,7,.857,1,5,6,7,2,4,5,2,16,12.5
2,2,2,1984-10-27,CHI,@,MIL,L 106-108,*,34:00,8,13,.615,0,0,,8,13,.615,.615,5,5,1.000,3,2,5,5,2,1,3,4,21,19.4
3,3,3,1984-10-29,CHI,,MIL,W 116-110,*,34:00,13,24,.542,0,0,,13,24,.542,.542,11,13,.846,2,2,4,5,6,2,3,4,37,32.9
4,4,4,1984-10-30,CHI,@,KCK,W 109-104,*,36:00,8,21,.381,0,0,,8,21,.381,.381,9,9,1.000,2,2,4,5,3,1,6,5,25,14.7
5,5,5,1984-11-01,CHI,@,DEN,L 113-129,*,33:00,7,15,.467,0,0,,7,15,.467,.467,3,4,.750,3,2,5,5,1,1,2,4,17,13.2
6,6,6,1984-11-07,CHI,@,DET,W 122-118,*,27:00,9,19,.474,0,0,,9,19,.474,.474,7,9,.778,1,3,4,3,3,1,5,5,25,14.9
7,7,7,1984-11-08,CHI,@,NYK,W 121-106,*,33:00,15,22,.682,0,0,,15,22,.682,.682,3,4,.750,4,4,8,5,3,2,5,2,33,29.3
8,8,8,1984-11-10,CHI,@,IND,W 118-116,*,42:00,9,22,.409,0,0,,9,22,.409,.409,9,12,.750,2,7,9,4,2,5,3,4,27,21.2
9,9,9,1984-11-13,CHI,,SAS,W 120-117,*,43:00,18,27,.667,1,1,1.000,17,26,.654,.685,8,11,.727,2,8,10,4,3,2,4,4,45,37.5
10,10,10,1984-11-15,CHI,,BOS,L 105-125,*,33:00,12,24,.500,0,1,.000,12,23,.522,.500,3,3,1.000,0,2,2,2,2,1,1,4,27,17.1
11,11,11,1984-11-17,CHI,,PHI,L 100-109,*,44:00,4,17,.235,0,0,,4,17,.235,.235,8,8,1.000,0,5,5,7,5,2,4,5,16,12.5
12,12,12,1984-11-19,CHI,,IND,L 120-137,*,39:00,11,26,.423,0,3,.000,11,23,.478,.423,12,16,.750,2,3,5,2,2,1,3,3,34,20.8
