Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,230,1,2014-10-29,GSW,@,SAC,W 95-77,*,37:59,4,14,.286,2,8,.250,2,6,.333,.357,9,10,.900,0,2,2,6,2,1,5,1,19,12.5,21
2,231,2,2014-11-01,GSW,,LAL,W 127-104,*,34:08,14,18,.778,5,7,.714,9,11,.818,.917,8,9,.889,0,5,5,2,0,0,1,2,41,34.7,24
3,232,3,2014-11-02,GSW,@,POR,W 95-90,*,33:56,11,22,.500,3,7,.429,8,15,.533,.568,4,4,1.000,0,1,1,1,3,1,2,2,29,19.9,7
4,233,4,2014-11-05,GSW,,LAC,W 121-104,*,30:17,7,13,.538,3,4,.750,4,9,.444,.654,2,2,1.000,0,1,1,1,0,2,1,4,19,12.5,12
5,234,5,2014-11-08,GSW,@,HOU,W 98-87,*,31:09,3,16,.188,0,6,.000,3,10,.300,.188,5,8,.625,0,4,4,6,0,0,4,3,11,0.0,28
5,,6,2014-11-09,GSW,@,PHO,L 95-107,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,235,7,2014-11-11,GSW,,SAS,L 100-113,*,39:42,9,17,.529,5,6,.833,4,11,.364,.676,6,6,1.000,0,5,5,4,1,0,4,0,29,22.0,-7
7,236,8,2014-11-13,GSW,,BRK,W 107-99,*,35:52,8,22,.364,4,9,.444,4,13,.308,.455,5,6,.833,2,2,4,2,2,0,2,0,25,15.8,12
8,237,9,2014-11-15,GSW,,CHO,W 112-87,*,27:12,7,13,.538,4,6,.667,3,7,.429,.692,3,3,1.000,1,3,4,5,3,1,2,1,21,21.1,24
9,238,10,2014-11-16,GSW,@,LAL,W 136-115,*,29:13,5,11,.455,2,7,.286,3,4,.750,.545,6,6,1.000,0,3,3,3,0,3,2,3,18,14.2,38
10,239,11,2014-11-21,GSW,,UTA,W 101-88,*,22:55,6,11,.545,1,5,.200,5,6,.833,.591,1,2,.500,0,1,1,2,2,0,0,1,14,11.6,25
11,240,12,2014-11-23,GSW,@,OKC,W 91-86,*,38:09,6,20,.300,4,11,.364,2,9,.222,.400,4,4,1.000,1,7,8,5,0,0,0,0,20,14.7,9
12,241,13,2014-11-25,GSW,@,MIA,W 114-97,*,37:58,10,19,.526,3,7,.429,7,12,.583,.605,1,2,.500,1,3,4,3,0,1,3,5,24,13.7,22
13,242,14,2014-11-26,GSW,@,ORL,W 111-96,*,25:08,6,14,.429,0,2,.000,6,12,.500,.429,0,0,,0,4,4,2,2,1,3,0,12,6.9,26
14,243,15,2014-11-28,GSW,@,CHO,W 106-101,*,34:30,7,22,.318,3,5,.600,4,17,.235,.386,0,0,,2,3,5,4,3,1,1,3,17,11.0,3
15,244,16,2014-11-30,GSW,@,DET,W 104-93,*,35:08,5,11,.455,2,2,1.000,3,9,.333,.545,3,3,1.000,0,3,3,2,1,0,3,1,15,9.2,10
16,245,17,2014-12-02,GSW,,ORL,W 98-97,*,35:04,8,16,.500,4,8,.500,4,8,.500,.625,0,0,,0,6,6,5,2,0,1,1,20,17.9,7
17,246,18,2014-12-04,GSW,,NOP,W 112-85,*,33:01,8,16,.500,5,8,.625,3,8,.375,.656,2,4,.500,1,3,4,5,2,1,2,0,23,20.0,19
