Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,465,1,2017-10-17,GSW,,HOU,L 121-122,*,38:09,6,14,.429,4,7,.571,2,7,.286,.571,0,0,,0,6,6,3,2,2,1,0,16,14.9,0
2,466,2,2017-10-20,GSW,@,NOP,W 128-120,*,36:33,13,20,.650,7,13,.538,6,7,.857,.825,0,0,,2,2,4,2,0,1,1,2,33,26.5,9
3,467,3,2017-10-21,GSW,@,MEM,L 101-111,*,38:11,5,16,.313,2,8,.250,3,8,.375,.375,2,2,1.000,0,2,2,1,0,1,0,4,14,5.2,0
4,468,4,2017-10-23,GSW,@,DAL,W 133-103,*,28:05,9,16,.563,3,9,.333,6,7,.857,.656,0,0,,0,4,4,3,0,1,2,4,21,13.8,24
5,469,5,2017-10-25,GSW,,TOR,W 117-112,*,38:26,9,15,.600,4,6,.667,5,9,.556,.733,0,0,,0,8,8,5,1,1,4,2,22,17.9,2
6,470,6,2017-10-27,GSW,,WAS,W 120-117,*,31:11,8,19,.421,2,8,.250,6,11,.545,.474,0,0,,0,2,2,3,0,2,1,4,18,9.4,-4
7,471,7,2017-10-29,GSW,,DET,L 107-115,*,33:18,12,19,.632,4,7,.571,8,12,.667,.737,1,2,.500,0,2,2,0,2,0,4,2,29,17.9,-9
8,472,8,2017-10-30,GSW,@,LAC,W 141-113,*,29:48,6,14,.429,1,4,.250,5,10,.500,.464,2,2,1.000,1,4,5,6,0,0,3,3,15,9.5,3
9,473,9,2017-11-02,GSW,@,SAS,W 112-92,*,30:39,11,17,.647,5,8,.625,6,9,.667,.794,0,0,,0,3,3,2,0,1,1,1,27,21.1,-2
10,474,10,2017-11-04,GSW,@,DEN,W 127-108,*,29:21,6,12,.500,3,6,.500,3,6,.500,.625,0,0,,0,2,2,2,1,0,2,2,15,9.2,17
