Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,265,1,1988-11-04,CHI,,DET,L 94-107,*,43:00,10,19,.526,0,2,.000,10,17,.588,.526,8,12,.667,1,4,5,7,5,2,2,5,28,26.3
2,266,2,1988-11-05,CHI,@,WSB,W 111-98,*,39:00,9,21,.429,0,0,,9,21,.429,.429,11,12,.917,0,2,2,7,3,0,5,4,29,19.4
3,267,3,1988-11-08,CHI,@,NYK,L 117-126,*,39:00,13,21,.619,2,3,.667,11,18,.611,.667,3,3,1.000,2,1,3,9,2,0,4,5,31,25.5
4,268,4,1988-11-09,CHI,@,BOS,W 110-104,*,42:00,18,33,.545,2,4,.500,16,29,.552,.576,14,16,.875,0,3,3,2,9,2,2,4,52,44.4
5,269,5,1988-11-11,CHI,,NJN,W 97-85,*,41:00,14,24,.583,0,1,.000,14,23,.609,.583,8,11,.727,1,5,6,3,3,4,6,2,36,26.9
6,270,6,1988-11-12,CHI,@,NJN,L 91-97,*,43:00,17,31,.548,0,3,.000,17,28,.607,.548,8,12,.667,2,5,7,6,3,1,1,2,42,34.5
7,271,7,1988-11-15,CHI,,PHI,W 120-107,*,43:00,14,27,.519,0,0,,14,27,.519,.519,5,6,.833,1,5,6,6,5,1,3,2,33,27.6
8,272,8,1988-11-16,CHI,@,PHI,L 110-123,*,43:00,24,29,.828,0,1,.000,24,28,.857,.828,4,4,1.000,3,6,9,1,4,2,4,2,52,46.5
9,273,9,1988-11-18,CHI,,ATL,W 115-112 (OT),*,49:00,12,21,.571,0,0,,12,21,.571,.571,10,13,.769,1,8,9,9,1,0,6,4,34,25.7
10,274,10,1988-11-22,CHI,@,SAC,W 114-98,*,38:00,16,20,.800,0,0,,16,20,.800,.800,0,0,,1,10,11,8,1,1,2,3,32,32.2
11,275,11,1988-11-23,CHI,@,LAC,L 97-105,*,41:00,7,15,.467,1,2,.500,6,13,.462,.500,11,12,.917,2,10,12,7,5,4,6,4,26,27.4
12,276,12,1988-11-26,CHI,@,DEN,L 123-128,*,44:00,19,27,.704,3,5,.600,16,22,.727,.759,11,14,.786,2,9,11,7,1,0,6,3,52,42.3
13,277,13,1988-11-29,CHI,@,GSW,L 99-109,*,43:00,11,24,.458,0,1,.000,11,23,.478,.458,4,4,1.000,2,8,10,7,4,0,3,3,26,22.1
14,278,14,1988-11-30,CHI,@,UTA,L 93-107,*,39:00,11,25,.440,0,1,.000,11,24,.458,.440,11,13,.846,4,4,8,5,2,1,3,1,33,25.9
15,279,15,1988-12-03,CHI,@,DAL,W 113-100,*,43:00,16,31,.516,0,0,,16,31,.516,.516,7,8,.875,3,8,11,6,2,3,2,5,39,32.1
16,280,16,1988-12-06,CHI,,BOS,W 105-100,*,43:00,14,20,.700,0,0,,14,20,.700,.700,10,11,.909,2,7,9,5,5,0,6,4,38,33.6
17,281,17,1988-12-07,CHI,@,DET,L 89-102,*,40:00,4,16,.250,0,0,,4,16,.250,.250,10,11,.909,3,4,7,7,1,2,3,1,18,15.2
18,282,18,1988-12-09,CHI,,MIL,W 118-100,*,40:00,10,17,.588,0,2,.000,10,15,.667,.588,15,17,.882,3,8,11,5,1,1,5,3,35,29.8
19,283,19,1988-12-10,CHI,,MIA,W 111-88,*,37:00,14,25,.560,1,2,.500,13,23,.565,.580,9,10,.900,2,9,11,4,2,0,1,3,38,32.4
20,284,20,1988-12-13,CHI,,ATL,L 88-106,*,41:00,11,24,.458,0,1,.000,11,23,.478,.458,6,6,1.000,2,12,14,6,2,0,1,3,28,24.6
21,285,21,1988-12-16,CHI,,IND,W 100-93,*,38:00,10,22,.455,0,3,.000,10,19,.526,.455,8,9,.889,3,7,10,7,6,0,2,4,28,27.7
22,286,22,1988-12-17,CHI,@,MIL,W 112-93,*,40:00,12,25,.480,0,1,.000,12,24,.500,.480,12,12,1.000,0,6,6,5,3,0,3,2,36,27.8
23,287,23,1988-12-20,CHI,,LAL,W 116-103,*,39:00,11,23,.478,2,3,.667,9,20,.450,.522,18,22,.818,4,3,7,8,4,0,1,0,42,41.0
24,288,24,1988-12-23,CHI,@,CHH,L 101-103,*,41:00,14,26,.538,0,0,,14,26,.538,.538,5,6,.833,2,3,5,4,6,0,7,5,33,22.1
25,289,25,1988-12-27,CHI,,CLE,L 96-107,*,42:00,18,30,.600,1,1,1.000,17,29,.586,.617,6,6,1.000,3,9,12,4,3,0,4,3,43,34.6
26,290,26,1988-12-29,CHI,,NYK,W 108-106,*,40:00,14,27,.519,0,2,.000,14,25,.560,.519,9,12,.750,1,8,9,3,3,0,3,2,37,26.9
27,291,27,1988-12-30,CHI,@,IND,W 101-85,*,37:00,13,26,.500,0,0,,13,26,.500,.500,5,5,1.000,2,5,7,4,4,2,2,1,31,26.7
28,292,28,1989-01-03,CHI,,LAC,W 126-121 (OT),*,47:00,15,30,.500,0,3,.000,15,27,.556,.500,11,15,.733,1,9,10,11,6,0,4,5,41,35.5
29,293,29,1989-01-05,CHI,@,CLE,L 98-103,*,41:00,13,24,.542,1,2,.500,12,22,.545,.563,5,5,1.000,2,9,11,7,2,0,2,2,32,28.6
30,294,30,1989-01-06,CHI,,UTA,L 92-106,*,37:00,12,21,.571,0,0,,12,21,.571,.571,3,5,.600,1,4,5,4,2,1,2,2,27,20.9
31,295,31,1989-01-10,CHI,@,ATL,W 104-101,*,41:00,17,29,.586,0,2,.000,17,27,.630,.586,14,16,.875,4,6,10,9,3,0,4,2,48,42.8
32,296,32,1989-01-11,CHI,@,CHH,W 106-101,*,40:00,7,15,.467,0,0,,7,15,.467,.467,10,11,.909,1,3,4,10,3,1,6,4,24,20.6
33,297,33,1989-01-13,CHI,,DEN,W 104-99,*,46:00,13,24,.542,0,1,.000,13,23,.565,.542,12,13,.923,1,11,12,11,3,0,6,4,38,33.1
34,298,34,1989-01-15,CHI,,BOS,W 110-104,*,41:00,13,23,.565,0,3,.000,13,20,.650,.565,16,17,.941,1,5,6,11,8,0,2,2,42,45.8
35,299,35,1989-01-17,CHI,,IND,W 103-96,*,44:00,10,18,.556,0,1,.000,10,17,.588,.556,2,4,.500,1,5,6,13,4,1,2,4,22,25.0
36,300,36,1989-01-19,CHI,@,MIA,W 112-108,*,41:00,14,25,.560,0,1,.000,14,24,.583,.560,6,8,.750,3,2,5,7,2,1,1,3,34,29.4
37,301,37,1989-01-21,CHI,,PHO,L 107-116,*,41:00,20,28,.714,0,0,,20,28,.714,.714,13,15,.867,1,13,14,8,2,1,4,4,53,47.9
38,302,38,1989-01-24,CHI,,DAL,W 109-91,*,33:00,10,20,.500,0,1,.000,10,19,.526,.500,4,5,.800,1,2,3,6,3,0,1,1,24,20.7
39,303,39,1989-01-25,CHI,@,PHI,L 108-120,*,45:00,14,25,.560,0,0,,14,25,.560,.560,5,5,1.000,0,6,6,12,2,1,2,5,33,30.0
40,304,40,1989-01-27,CHI,,WSB,W 117-106,*,39:00,14,25,.560,0,0,,14,25,.560,.560,5,8,.625,3,8,11,9,3,1,1,4,33,31.8
41,305,41,1989-01-31,CHI,,DET,L 98-104 (OT),*,41:00,7,24,.292,0,1,.000,7,23,.304,.292,7,10,.700,3,9,12,10,2,1,5,6,21,12.9
42,306,42,1989-02-02,CHI,,SAC,W 109-98,*,40:00,15,21,.714,0,0,,15,21,.714,.714,10,12,.833,1,6,7,8,4,0,6,2,40,35.8
43,307,43,1989-02-03,CHI,@,HOU,L 98-105,*,45:00,10,24,.417,0,1,.000,10,23,.435,.417,9,12,.750,2,4,6,10,5,1,3,3,29,26.1
44,308,44,1989-02-05,CHI,@,DET,L 102-113,*,42:00,10,18,.556,1,4,.250,9,14,.643,.583,7,8,.875,2,4,6,10,1,1,1,3,28,28.1
45,309,45,1989-02-07,CHI,,CHH,W 118-93,*,32:00,11,20,.550,1,2,.500,10,18,.556,.575,9,10,.900,2,5,7,5,2,0,3,3,32,26.2
46,310,46,1989-02-09,CHI,@,SAS,W 108-103,*,43:00,9,20,.450,0,0,,9,20,.450,.450,5,8,.625,3,3,6,9,2,1,6,2,23,16.6
47,311,47,1989-02-14,CHI,,ATL,L 98-106,*,36:00,11,14,.786,1,1,1.000,10,13,.769,.821,9,16,.563,2,3,5,3,3,0,3,4,32,26.6
48,312,48,1989-02-16,CHI,,MIL,W 117-116,*,40:00,16,26,.615,1,2,.500,15,24,.625,.635,17,18,.944,2,6,8,5,3,0,4,4,50,41.9
49,313,49,1989-02-19,CHI,@,MIL,W 108-106,*,40:00,9,19,.474,0,0,,9,19,.474,.474,5,6,.833,0,3,3,9,2,3,7,4,23,15.6
50,314,50,1989-02-20,CHI,,POR,W 102-98,*,36:00,13,22,.591,0,0,,13,22,.591,.591,7,8,.875,2,4,6,7,1,1,4,3,33,26.4
51,315,51,1989-02-22,CHI,@,CHH,W 130-102,*,37:00,10,14,.714,0,1,.000,10,13,.769,.714,4,5,.800,0,4,4,5,1,0,6,4,24,15.9
52,316,52,1989-02-24,CHI,,HOU,W 106-97,*,38:00,10,18,.556,0,0,,10,18,.556,.556,13,15,.867,0,4,4,8,4,0,2,2,33,31.6
53,317,53,1989-02-25,CHI,@,ATL,L 95-125,*,30:00,7,12,.583,0,0,,7,12,.583,.583,4,5,.800,1,4,5,3,3,0,4,3,18,13.8
54,318,54,1989-02-28,CHI,,SAS,W 121-102,*,34:00,11,16,.688,0,0,,11,16,.688,.688,2,2,1.000,4,2,6,8,2,1,4,1,24,24.5
55,319,55,1989-03-03,CHI,,MIL,W 102-96,*,41:00,10,18,.556,1,1,1.000,9,17,.529,.583,7,11,.636,2,6,8,9,2,1,6,4,28,22.4
56,320,56,1989-03-04,CHI,@,NYK,L 104-122,*,42:00,10,16,.625,0,0,,10,16,.625,.625,8,8,1.000,1,2,3,10,2,0,4,4,28,25.5
57,321,57,1989-03-07,CHI,,PHI,L 88-90,*,39:00,15,27,.556,0,0,,15,27,.556,.556,4,5,.800,3,8,11,4,3,0,2,2,34,28.2
58,322,59,1989-03-11,CHI,,SEA,W 105-88,*,40:00,8,13,.615,0,0,,8,13,.615,.615,2,2,1.000,1,7,8,15,1,3,3,3,18,24.3
59,323,60,1989-03-13,CHI,,IND,W 122-90,*,30:00,7,15,.467,3,4,.750,4,11,.364,.567,4,4,1.000,3,11,14,14,3,2,1,0,21,31.9
60,324,61,1989-03-15,CHI,@,CLE,L 91-115,*,38:00,12,22,.545,0,0,,12,22,.545,.545,4,5,.800,1,5,6,12,3,0,8,3,28,21.4
61,325,62,1989-03-17,CHI,,NYK,W 129-124,*,41:00,9,16,.563,2,2,1.000,7,14,.500,.625,13,14,.929,1,4,5,9,4,1,4,5,33,31.9
62,326,63,1989-03-18,CHI,@,IND,L 103-114,*,44:00,11,24,.458,0,1,.000,11,23,.478,.458,6,7,.857,0,6,6,10,0,1,2,1,28,22.3
63,327,64,1989-03-21,CHI,@,LAL,W 104-103,*,43:00,7,20,.350,0,0,,7,20,.350,.350,7,8,.875,1,7,8,16,1,0,5,3,21,18.2
64,328,65,1989-03-22,CHI,@,PHO,W 112-111,*,37:00,10,20,.500,0,0,,10,20,.500,.500,12,12,1.000,0,10,10,9,1,0,3,5,32,27.3
65,329,66,1989-03-24,CHI,@,POR,W 128-113,*,40:00,10,20,.500,0,3,.000,10,17,.588,.500,13,16,.813,3,4,7,17,6,0,7,4,33,34.4
66,330,67,1989-03-25,CHI,@,SEA,W 111-110,*,40:00,8,18,.444,0,0,,8,18,.444,.444,5,5,1.000,1,11,12,12,3,0,6,3,21,19.8
67,331,68,1989-03-28,CHI,,GSW,W 115-106,*,40:00,13,24,.542,0,1,.000,13,23,.565,.542,7,9,.778,1,11,12,11,4,0,5,4,33,29.7
68,332,69,1989-03-29,CHI,@,MIL,W 106-102,*,43:00,9,19,.474,0,1,.000,9,18,.500,.474,14,16,.875,1,9,10,10,2,1,4,4,32,29.0
69,333,70,1989-03-31,CHI,,CLE,L 100-109,*,43:00,15,29,.517,1,2,.500,14,27,.519,.534,6,7,.857,2,8,10,10,3,1,3,4,37,32.2
70,334,71,1989-04-02,CHI,,NJN,W 106-95,*,39:00,11,23,.478,1,1,1.000,10,22,.455,.500,5,5,1.000,5,9,14,12,2,2,3,2,28,30.5
71,335,72,1989-04-04,CHI,,CHH,W 121-101,*,40:00,10,15,.667,0,2,.000,10,13,.769,.667,13,15,.867,4,6,10,12,6,1,3,1,33,42.0
72,336,73,1989-04-06,CHI,@,DET,L 108-115,*,43:00,11,23,.478,1,5,.200,10,18,.556,.500,8,8,1.000,2,11,13,10,2,0,2,2,31,30.2
73,337,74,1989-04-07,CHI,,DET,L 112-114 (OT),*,42:00,11,18,.611,0,0,,11,18,.611,.611,18,21,.857,1,6,7,11,2,0,1,6,40,39.4
74,338,75,1989-04-09,CHI,@,ATL,L 100-108,*,43:00,13,29,.448,0,3,.000,13,26,.500,.448,14,14,1.000,4,6,10,12,1,0,2,3,40,35.7
75,339,76,1989-04-13,CHI,@,IND,L 105-109,*,46:00,17,30,.567,0,1,.000,17,29,.586,.567,13,14,.929,2,9,11,13,4,2,4,3,47,45.8
76,340,77,1989-04-14,CHI,@,NJN,L 111-123,*,38:00,12,27,.444,0,1,.000,12,26,.462,.444,5,7,.714,2,8,10,12,3,2,4,2,29,25.9
