Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,103,1,2019-04-13,GSW,,LAC,W 121-104,*,36:41,5,14,.357,1,6,.167,4,8,.500,.393,1,1,1.000,0,1,1,2,1,3,0,0,12,9.0,0
2,104,2,2019-04-15,GSW,,LAC,L 131-135,*,32:03,6,11,.545,1,4,.250,5,7,.714,.591,4,4,1.000,1,2,3,2,2,0,0,4,17,14.8,-15
3,105,3,2019-04-18,GSW,@,LAC,W 132-105,*,32:38,5,11,.455,2,2,1.000,3,9,.333,.545,0,0,,0,2,2,2,0,2,3,2,12,5.9,24
4,106,4,2019-04-21,GSW,@,LAC,W 113-105,*,39:53,12,20,.600,6,9,.667,6,11,.545,.750,2,2,1.000,0,1,1,0,0,0,1,2,32,21.3,4
5,107,5,2019-04-24,GSW,,LAC,L 121-129,*,37:03,9,20,.450,4,11,.364,5,9,.556,.550,0,0,,0,3,3,2,0,0,2,3,22,10.7,-13
6,108,6,2019-04-26,GSW,@,LAC,W 129-110,*,37:30,3,10,.300,1,4,.250,2,6,.333,.350,2,3,.667,0,7,7,1,1,3,0,3,9,7.5,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,109,7,2019-04-28,GSW,,HOU,W 104-100,*,41:23,5,13,.385,2,5,.400,3,8,.375,.462,1,1,1.000,0,4,4,3,2,0,3,4,13,6.6,3
8,110,8,2019-04-30,GSW,,HOU,W 115-109,*,41:23,8,18,.444,3,9,.333,5,9,.556,.528,2,2,1.000,0,5,5,2,3,0,2,2,21,14.7,17
9,111,9,2019-05-04,GSW,@,HOU,L 121-126 (OT),*,45:50,6,16,.375,2,6,.333,4,10,.400,.438,2,2,1.000,4,4,8,2,3,0,2,3,16,12.4,-3
10,112,10,2019-05-06,GSW,@,HOU,L 108-112,*,36:11,5,15,.333,1,6,.167,4,9,.444,.367,0,0,,1,6,7,1,1,0,2,5,11,2.7,-12
11,113,11,2019-05-08,GSW,,HOU,W 104-99,*,44:30,11,20,.550,5,10,.500,6,10,.600,.675,0,0,,0,4,4,1,3,0,1,1,27,20.9,4
12,114,12,2019-05-10,GSW,@,HOU,W 118-113,*,39:46,10,20,.500,7,13,.538,3,7,.429,.675,0,0,,0,2,2,2,1,2,4,2,27,16.6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,115,13,2019-05-14,GSW,,POR,W 116-94,*,37:29,10,24,.417,3,9,.333,7,15,.467,.479,3,3,1.000,0,1,1,3,3,2,2,3,26,16.8,16
14,116,14,2019-05-16,GSW,,POR,W 114-111,*,41:21,8,22,.364,4,8,.500,4,14,.286,.455,4,4,1.000,1,2,3,2,0,0,2,3,24,11.3,2
15,117,15,2019-05-18,GSW,@,POR,W 110-99,*,39:54,8,20,.400,1,5,.200,7,15,.467,.425,2,3,.667,1,4,5,5,2,2,4,3,19,11.4,-1
16,118,16,2019-05-20,GSW,@,POR,W 119-117 (OT),*,46:17,7,21,.333,3,10,.300,4,11,.364,.405,0,0,,0,6,6,2,2,1,4,4,17,5.4,-6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,119,17,2019-05-30,GSW,@,TOR,L 109-118,*,39:19,8,17,.471,3,6,.500,5,11,.455,.559,2,2,1.000,2,3,5,1,0,0,2,3,21,12.1,-10
18,120,18,2019-06-02,GSW,@,TOR,W 109-104,*,32:08,10,17,.588,4,6,.667,6,11,.545,.706,1,2,.500,0,5,5,5,1,0,1,3,25,20.5,7
18,,19,2019-06-05,GSW,,TOR,L 109-123,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,121,20,2019-06-07,GSW,,TOR,L 92-105,*,42:10,11,18,.611,6,10,.600,5,8,.625,.778,0,0,,1,2,3,2,0,0,0,3,28,21.3,-7
20,122,21,2019-06-10,GSW,@,TOR,W 106-105,*,42:29,9,21,.429,7,13,.538,2,8,.250,.595,1,2,.500,0,6,6,4,1,0,1,3,26,17.9,-6
21,123,22,2019-06-13,GSW,,TOR,L 110-114,*,31:59,8,12,.667,4,6,.667,4,6,.667,.833,10,10,1.000,1,4,5,0,2,0,2,3,30,25.5,5
,,,,,,,14-7,21,817,164,360,.456,70,158,.443,94,202,.465,.553,37,41,.902,12,74,86,44,28,15,38,59,435,13.6,21
