Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,,30,2021-12-18,GSW,@,TOR,L 100-119,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,31,2021-12-20,GSW,,SAC,W 113-98,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,32,2021-12-23,GSW,,MEM,W 113-104,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,33,2021-12-25,GSW,@,PHO,W 116-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,34,2021-12-28,GSW,,DEN,L 86-89,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,35,2022-01-01,GSW,@,UTA,W 123-116,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,36,2022-01-03,GSW,,MIA,W 115-108,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,37,2022-01-05,GSW,@,DAL,L 82-99,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,38,2022-01-06,GSW,@,NOP,L 96-101,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,616,39,2022-01-09,GSW,,CLE,W 96-82,*,19:55,7,18,.389,3,8,.375,4,10,.400,.472,0,0,,1,2,3,1,0,1,2,3,17,6.7,-2
2,617,40,2022-01-11,GSW,@,MEM,L 108-116,*,19:37,5,13,.385,2,5,.400,3,8,.375,.462,2,2,1.000,0,3,3,3,0,1,3,1,14,7.2,17
3,618,41,2022-01-13,GSW,@,MIL,L 99-118,*,20:34,3,11,.273,2,7,.286,1,4,.250,.364,3,3,1.000,1,1,2,1,1,0,1,1,11,5.8,-8
3,,42,2022-01-14,GSW,@,CHI,W 138-96,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,619,43,2022-01-16,GSW,@,MIN,L 99-119,*,22:43,5,14,.357,3,8,.375,2,6,.333,.464,0,0,,0,4,4,2,1,0,2,1,13,6.4,1
5,620,44,2022-01-18,GSW,,DET,W 102-86,*,22:18,6,13,.462,3,8,.375,3,5,.600,.577,6,6,1.000,0,3,3,4,2,0,1,1,21,18.6,16
6,621,45,2022-01-20,GSW,,IND,L 117-121 (OT),*,23:06,6,17,.353,0,7,.000,6,10,.600,.353,0,0,,1,1,2,1,0,0,2,1,12,1.8,-4
6,,46,2022-01-21,GSW,,HOU,W 105-103,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,47,2022-01-23,GSW,,UTA,W 94-92,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,622,48,2022-01-25,GSW,,DAL,W 130-92,*,25:38,6,12,.500,3,5,.600,3,7,.429,.625,0,0,,0,2,2,6,0,0,1,0,15,12.8,26
8,623,49,2022-01-27,GSW,,MIN,W 124-115,*,26:59,9,16,.563,5,9,.556,4,7,.571,.719,0,0,,1,4,5,4,0,1,4,1,23,16.4,4
9,624,50,2022-01-29,GSW,,BRK,W 110-106,*,26:47,5,14,.357,2,8,.250,3,6,.500,.429,4,4,1.000,2,4,6,2,1,1,0,1,16,13.5,-3
10,625,51,2022-01-31,GSW,@,HOU,W 122-108,*,26:17,6,15,.400,1,8,.125,5,7,.714,.433,1,1,1.000,0,3,3,3,1,1,1,2,14,8.8,7
10,,52,2022-02-01,GSW,@,SAS,W 124-120,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,626,53,2022-02-03,GSW,,SAC,W 126-114,*,23:45,8,11,.727,7,9,.778,1,2,.500,1.045,0,0,,0,5,5,7,0,0,2,3,23,21.7,20
12,627,54,2022-02-07,GSW,@,OKC,W 110-98,*,28:58,6,15,.400,3,8,.375,3,7,.429,.500,6,6,1.000,0,2,2,2,2,1,0,2,21,16.8,0
12,,55,2022-02-09,GSW,@,UTA,L 85-111,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,628,56,2022-02-10,GSW,,NYK,L 114-116,*,29:34,7,17,.412,3,9,.333,4,8,.500,.500,0,0,,0,7,7,5,0,1,1,1,17,12.8,1
14,629,57,2022-02-12,GSW,,LAL,W 117-115,*,30:01,12,22,.545,5,9,.556,7,13,.538,.659,4,5,.800,0,5,5,0,0,0,1,3,33,21.3,10
15,630,58,2022-02-14,GSW,@,LAC,L 104-119,*,26:41,3,14,.214,1,5,.200,2,9,.222,.250,0,0,,0,4,4,4,1,0,1,1,7,2.0,-23
16,631,59,2022-02-16,GSW,,DEN,L 116-117,*,31:08,5,15,.333,3,10,.300,2,5,.400,.433,3,4,.750,0,4,4,4,1,0,0,2,16,11.3,0
17,632,60,2022-02-24,GSW,@,POR,W 132-95,*,24:56,6,11,.545,4,7,.571,2,4,.500,.727,2,2,1.000,1,4,5,2,0,0,0,0,18,16.0,11
17,,61,2022-02-27,GSW,,DAL,L 101-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,62,2022-03-01,GSW,@,MIN,L 114-129,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,633,63,2022-03-03,GSW,@,DAL,L 113-122,*,28:14,6,17,.353,2,8,.250,4,9,.444,.412,2,2,1.000,0,3,3,2,0,1,2,2,16,6.7,-10
19,634,64,2022-03-05,GSW,@,LAL,L 116-124,*,31:24,3,13,.231,1,5,.200,2,8,.250,.269,0,0,,1,5,6,4,1,3,4,3,7,2.0,-5
19,,65,2022-03-07,GSW,@,DEN,L 124-131,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,635,66,2022-03-08,GSW,,LAC,W 112-97,*,33:42,9,23,.391,2,9,.222,7,14,.500,.435,0,0,,1,4,5,1,0,2,0,1,20,11.1,6
21,636,67,2022-03-10,GSW,@,DEN,W 113-102,*,33:26,7,20,.350,2,8,.250,5,12,.417,.400,2,3,.667,1,2,3,2,1,2,0,1,18,11.1,9
22,637,68,2022-03-12,GSW,,MIL,W 122-109,*,33:51,15,24,.625,8,14,.571,7,10,.700,.792,0,0,,0,6,6,5,1,1,2,2,38,31.4,27
23,638,69,2022-03-14,GSW,,WAS,W 126-112,*,33:13,7,19,.368,4,12,.333,3,7,.429,.474,2,2,1.000,0,4,4,1,0,0,1,1,20,10.0,0
24,639,70,2022-03-16,GSW,,BOS,L 88-110,*,32:57,8,24,.333,1,11,.091,7,13,.538,.354,1,2,.500,2,1,3,1,0,0,1,1,18,5.0,-30
25,640,71,2022-03-20,GSW,,SAS,L 108-110,*,38:18,9,22,.409,6,12,.500,3,10,.300,.545,0,0,,1,2,3,0,1,0,0,3,24,13.3,-13
26,641,72,2022-03-22,GSW,@,ORL,L 90-94,*,32:19,6,15,.400,2,7,.286,4,8,.500,.467,1,1,1.000,0,2,2,3,2,0,1,3,15,9.4,0
26,,73,2022-03-23,GSW,@,MIA,W 118-104,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,642,74,2022-03-25,GSW,@,ATL,L 110-121,*,40:23,14,26,.538,9,16,.563,5,10,.500,.712,0,0,,1,6,7,3,0,1,2,1,37,27.3,-11
28,643,75,2022-03-27,GSW,@,WAS,L 115-123,*,36:49,10,22,.455,5,13,.385,5,9,.556,.568,0,0,,0,5,5,3,0,0,0,1,25,16.8,-7
28,,76,2022-03-28,GSW,@,MEM,L 95-123,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,644,77,2022-03-30,GSW,,PHO,L 103-107,*,33:35,5,21,.238,1,10,.100,4,11,.364,.262,2,2,1.000,0,1,1,4,0,0,3,4,13,-1.2,-5
30,645,78,2022-04-02,GSW,,UTA,W 111-107,*,39:18,14,28,.500,8,17,.471,6,11,.545,.643,0,0,,0,5,5,2,0,0,1,3,36,22.7,2
30,,79,2022-04-03,GSW,@,SAC,W 109-90,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,646,80,2022-04-07,GSW,,LAL,W 128-112,*,33:28,12,22,.545,6,10,.600,6,12,.500,.682,3,3,1.000,1,3,4,4,0,0,1,2,33,25.0,5
31,,81,2022-04-09,GSW,@,SAS,W 100-94,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,647,82,2022-04-10,GSW,@,NOP,W 128-107,*,30:55,16,29,.552,7,14,.500,9,15,.600,.672,2,3,.667,0,3,3,2,0,0,3,2,41,25.2,25
,,,,,,,17-15,32,941,246,573,.429,114,296,.385,132,277,.477,.529,46,51,.902,15,110,125,88,16,17,43,54,652,13.0,66
