Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,387,1,2016-10-25,GSW,,SAS,L 100-129,*,33:21,5,13,.385,1,6,.167,4,7,.571,.423,0,0,,0,1,1,2,0,0,1,4,11,3.0,-6
2,388,2,2016-10-28,GSW,@,NOP,W 122-114,*,38:57,11,21,.524,2,9,.222,9,12,.750,.571,4,4,1.000,0,2,2,4,1,0,1,0,28,21.1,4
3,389,3,2016-10-30,GSW,@,PHO,W 106-100,*,40:03,5,15,.333,0,6,.000,5,9,.556,.333,4,5,.800,0,6,6,2,0,1,2,3,14,5.8,14
4,390,4,2016-11-01,GSW,@,POR,W 127-104,*,30:13,6,17,.353,0,7,.000,6,10,.600,.353,2,2,1.000,2,3,5,4,0,0,2,4,14,6.0,4
5,391,5,2016-11-03,GSW,,OKC,W 122-96,*,32:58,7,14,.500,4,8,.500,3,6,.500,.643,0,0,,1,0,1,3,2,1,2,3,18,13.3,7
6,392,6,2016-11-04,GSW,@,LAL,L 97-117,*,37:32,4,18,.222,2,10,.200,2,8,.250,.278,0,0,,0,3,3,1,2,1,4,1,10,-1.1,-16
7,393,7,2016-11-07,GSW,,NOP,W 116-106,*,38:00,11,20,.550,2,7,.286,9,13,.692,.600,0,0,,0,4,4,1,3,0,1,2,24,17.5,3
8,394,8,2016-11-09,GSW,,DAL,W 116-95,*,28:49,8,13,.615,4,7,.571,4,6,.667,.769,0,0,,0,2,2,4,0,0,3,5,20,12.5,19
9,395,9,2016-11-10,GSW,@,DEN,W 125-101,*,31:37,7,14,.500,3,4,.750,4,10,.400,.607,2,2,1.000,0,2,2,3,1,0,3,1,19,12.3,24
10,396,10,2016-11-13,GSW,,PHO,W 133-120,*,33:26,11,18,.611,5,8,.625,6,10,.600,.750,3,3,1.000,0,2,2,1,0,0,5,3,30,16.9,2
11,397,11,2016-11-16,GSW,@,TOR,W 127-121,*,31:30,4,15,.267,3,11,.273,1,4,.250,.367,4,4,1.000,1,3,4,1,0,1,0,1,15,8.7,-9
12,398,12,2016-11-18,GSW,@,BOS,W 104-88,*,30:42,12,21,.571,3,6,.500,9,15,.600,.643,1,1,1.000,1,3,4,3,0,0,2,2,28,19.0,28
13,399,13,2016-11-19,GSW,@,MIL,W 124-121,*,37:57,9,17,.529,5,10,.500,4,7,.571,.676,6,6,1.000,0,3,3,2,0,0,3,1,29,19.6,21
14,400,14,2016-11-21,GSW,@,IND,W 120-83,*,26:23,10,18,.556,4,10,.400,6,8,.750,.667,1,2,.500,0,1,1,0,2,0,2,3,25,15.1,24
15,401,15,2016-11-23,GSW,,LAL,W 149-106,*,23:39,9,14,.643,4,7,.571,5,7,.714,.786,4,4,1.000,0,2,2,2,0,0,1,4,26,19.2,4
16,402,16,2016-11-25,GSW,@,LAL,W 109-85,*,33:11,7,17,.412,1,6,.167,6,11,.545,.441,3,4,.750,0,7,7,0,0,0,1,1,18,9.2,35
