Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
46,391,46,1990-02-07,CHI,@,LAL,L 103-121,*,40:00,12,21,.571,0,1,.000,12,20,.600,.571,8,12,.667,0,4,4,4,0,1,8,3,32,16.0
47,392,47,1990-02-08,CHI,@,DEN,L 98-123,*,37:00,5,18,.278,1,2,.500,4,16,.250,.306,4,6,.667,0,1,1,8,1,1,4,2,15,6.4
48,393,48,1990-02-13,CHI,@,MIA,W 107-95,*,40:00,8,16,.500,0,1,.000,8,15,.533,.500,10,11,.909,1,3,4,6,3,0,3,4,26,21.8
49,394,49,1990-02-14,CHI,@,ORL,L 129-135 (OT),*,47:00,21,43,.488,0,2,.000,21,41,.512,.488,7,10,.700,1,6,7,2,0,1,0,1,49,30.3
50,395,50,1990-02-16,CHI,,MIA,W 119-105,*,31:00,10,14,.714,1,2,.500,9,12,.750,.750,5,6,.833,0,3,3,4,2,0,5,2,26,19.7
51,396,51,1990-02-18,CHI,@,MIL,W 111-88,*,36:00,15,26,.577,0,2,.000,15,24,.625,.577,9,10,.900,1,2,3,4,2,1,0,4,39,31.6
52,397,52,1990-02-19,CHI,,HOU,W 107-102,*,42:00,11,25,.440,0,0,,11,25,.440,.440,8,9,.889,2,4,6,9,2,0,5,3,30,21.2
53,398,53,1990-02-23,CHI,,POR,W 113-102,*,35:00,12,25,.480,2,2,1.000,10,23,.435,.520,9,10,.900,2,8,10,10,1,0,6,4,35,26.1
54,399,54,1990-02-25,CHI,@,NJN,W 107-106 (OT),*,44:00,12,24,.500,0,1,.000,12,23,.522,.500,8,9,.889,1,7,8,8,2,2,5,4,32,24.8
55,400,55,1990-02-27,CHI,,MIL,W 106-96,*,41:00,13,25,.520,0,1,.000,13,24,.542,.520,17,19,.895,2,4,6,6,3,0,3,4,43,35.1
56,401,56,1990-03-02,CHI,,NJN,W 112-91,*,31:00,8,12,.667,2,4,.500,6,8,.750,.750,5,6,.833,0,4,4,4,1,2,0,2,23,23.0
57,402,57,1990-03-04,CHI,@,BOS,W 118-114,*,40:00,11,23,.478,1,1,1.000,10,22,.455,.500,13,15,.867,0,6,6,11,4,0,2,4,36,33.4
58,403,58,1990-03-06,CHI,@,MIL,W 114-105,*,37:00,14,26,.538,2,4,.500,12,22,.545,.577,5,6,.833,2,6,8,6,4,0,2,5,35,29.4
59,404,59,1990-03-08,CHI,,UTA,L 94-98,*,47:00,12,29,.414,0,6,.000,12,23,.522,.414,19,22,.864,5,2,7,4,7,0,3,5,43,35.2
60,405,60,1990-03-10,CHI,,IND,W 117-105,*,39:00,17,27,.630,1,2,.500,16,25,.640,.648,10,10,1.000,2,5,7,3,5,1,2,5,45,39.6
61,406,61,1990-03-13,CHI,@,NYK,W 111-108,*,42:00,11,19,.579,1,3,.333,10,16,.625,.605,11,12,.917,2,6,8,7,1,1,4,2,34,29.7
62,407,62,1990-03-16,CHI,,DET,L 81-106,*,41:00,8,17,.471,3,5,.600,5,12,.417,.559,1,3,.333,0,8,8,7,1,0,3,3,20,14.6
63,408,63,1990-03-17,CHI,,PHI,W 114-109,*,39:00,13,21,.619,3,6,.500,10,15,.667,.690,3,4,.750,2,6,8,10,2,1,2,2,32,32.2
64,409,64,1990-03-20,CHI,,WSB,W 122-97,*,39:00,8,19,.421,1,2,.500,7,17,.412,.447,4,4,1.000,3,5,8,5,2,2,3,2,21,17.6
65,410,65,1990-03-21,CHI,@,ATL,W 99-89,*,38:00,10,20,.500,0,2,.000,10,18,.556,.500,7,9,.778,2,2,4,6,5,0,1,2,27,25.6
66,411,66,1990-03-23,CHI,,CLE,W 102-95,*,40:00,18,32,.563,0,3,.000,18,29,.621,.563,5,6,.833,2,4,6,5,5,1,3,1,41,33.8
67,412,67,1990-03-24,CHI,,SAC,L 113-116,*,39:00,16,28,.571,2,3,.667,14,25,.560,.607,9,10,.900,1,4,5,6,5,0,1,3,43,38.3
68,413,68,1990-03-26,CHI,,PHO,W 121-92,*,28:00,14,24,.583,0,1,.000,14,23,.609,.583,0,0,,4,8,12,5,6,0,2,0,28,29.5
69,414,69,1990-03-28,CHI,@,CLE,W 117-113 (OT),*,50:00,23,37,.622,2,6,.333,21,31,.677,.649,21,23,.913,7,11,18,6,4,1,2,5,69,64.6
70,415,70,1990-03-30,CHI,,NYK,W 107-106 (OT),*,45:00,20,34,.588,1,3,.333,19,31,.613,.603,8,9,.889,1,11,12,4,5,2,2,3,49,42.8
71,416,71,1990-04-01,CHI,,MIA,W 111-103,*,41:00,20,29,.690,1,2,.500,19,27,.704,.707,6,9,.667,2,4,6,7,3,3,5,2,47,40.3
72,417,72,1990-04-03,CHI,,IND,W 109-102,*,44:00,8,19,.421,1,4,.250,7,15,.467,.447,12,12,1.000,1,3,4,10,0,2,0,4,29,27.3
73,418,73,1990-04-05,CHI,,ORL,W 111-104,*,39:00,14,23,.609,2,6,.333,12,17,.706,.652,8,10,.800,1,6,7,3,4,1,2,2,38,33.2
74,419,74,1990-04-07,CHI,@,DAL,W 109-108,*,40:00,15,26,.577,3,5,.600,12,21,.571,.635,10,13,.769,2,1,3,4,2,1,0,3,43,35.6
75,420,75,1990-04-11,CHI,,CLE,W 107-86,*,31:00,9,15,.600,1,4,.250,8,11,.727,.633,3,4,.750,1,4,5,7,3,1,2,5,22,21.2
76,421,76,1990-04-13,CHI,,MIL,W 116-106,*,39:00,10,16,.625,1,4,.250,9,12,.750,.656,5,6,.833,1,5,6,10,8,2,4,3,26,31.8
77,422,77,1990-04-14,CHI,@,WSB,L 103-113,*,37:00,10,21,.476,1,2,.500,9,19,.474,.500,0,1,.000,1,2,3,5,1,0,2,4,21,12.1
78,423,78,1990-04-16,CHI,@,IND,L 102-111,*,45:00,11,24,.458,0,2,.000,11,22,.500,.458,1,2,.500,3,4,7,6,4,0,6,5,23,13.7
79,424,79,1990-04-17,CHI,,BOS,W 111-105,*,36:00,13,24,.542,2,3,.667,11,21,.524,.583,7,8,.875,1,10,11,6,2,1,6,3,35,26.4
80,425,80,1990-04-19,CHI,,WSB,W 120-117,*,36:00,12,26,.462,2,5,.400,10,21,.476,.500,6,6,1.000,3,3,6,7,5,1,3,4,32,27.6
81,426,81,1990-04-20,CHI,@,BOS,L 116-120,*,35:00,21,29,.724,0,2,.000,21,27,.778,.724,3,3,1.000,1,7,8,9,3,0,3,5,45,40.2
82,427,82,1990-04-22,CHI,@,DET,L 106-111,*,37:00,10,23,.435,1,3,.333,9,20,.450,.457,1,2,.500,3,7,10,4,2,0,2,3,22,15.3
,,,,,,,55-27,82,3197,1034,1964,.526,92,245,.376,942,1719,.548,.550,593,699,.848,143,422,565,519,227,54,247,241,2753,27.6
