Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,346,1,1989-11-03,CHI,,CLE,W 124-119 (OT),*,47:00,19,31,.613,1,2,.500,18,29,.621,.629,15,17,.882,3,11,14,6,3,1,0,3,54,51.2
2,347,2,1989-11-04,CHI,,BOS,L 100-102,*,34:00,10,18,.556,0,3,.000,10,15,.667,.556,4,6,.667,0,5,5,6,5,1,4,5,24,20.0
3,348,3,1989-11-07,CHI,,DET,W 117-114,*,44:00,13,24,.542,0,2,.000,13,22,.591,.542,14,17,.824,2,3,5,7,3,0,4,1,40,33.0
4,349,4,1989-11-08,CHI,@,MIN,W 96-84,*,40:00,15,24,.625,1,1,1.000,14,23,.609,.646,14,14,1.000,1,5,6,2,2,0,3,2,45,36.0
5,350,5,1989-11-10,CHI,@,NJN,L 107-117,*,41:00,8,22,.364,0,0,,8,22,.364,.364,10,11,.909,3,3,6,5,2,0,2,4,26,18.3
6,351,6,1989-11-11,CHI,,SEA,W 109-102,*,34:00,8,15,.533,1,2,.500,7,13,.538,.567,8,9,.889,0,4,4,6,3,1,4,4,25,20.8
7,352,7,1989-11-14,CHI,@,SAC,W 96-94,*,40:00,11,25,.440,1,1,1.000,10,24,.417,.460,4,8,.500,6,7,13,7,2,0,4,2,27,20.7
8,353,8,1989-11-15,CHI,@,UTA,L 107-108,*,38:00,12,26,.462,0,3,.000,12,23,.522,.462,16,19,.842,1,9,10,3,1,0,2,3,40,28.7
9,354,9,1989-11-18,CHI,@,SEA,L 110-119,*,39:00,12,26,.462,3,8,.375,9,18,.500,.519,5,7,.714,3,3,6,7,1,0,2,3,32,23.5
10,355,10,1989-11-21,CHI,@,POR,L 110-121,*,36:00,5,13,.385,1,3,.333,4,10,.400,.423,5,6,.833,0,0,0,7,2,0,4,1,16,11.0
11,356,11,1989-11-22,CHI,@,PHO,W 95-90,*,44:00,12,30,.400,1,3,.333,11,27,.407,.417,9,10,.900,2,5,7,7,2,0,2,2,34,24.4
12,357,12,1989-11-25,CHI,@,GSW,W 104-91,*,41:00,12,29,.414,1,5,.200,11,24,.458,.431,4,5,.800,6,8,14,9,3,0,3,3,29,24.8
13,358,13,1989-11-26,CHI,@,LAC,L 96-120,*,33:00,9,18,.500,1,2,.500,8,16,.500,.528,7,10,.700,3,4,7,4,2,2,7,3,26,17.1
14,359,14,1989-11-28,CHI,,ATL,W 113-98,*,39:00,8,15,.533,0,0,,8,15,.533,.533,6,6,1.000,0,9,9,13,3,0,4,4,22,23.9
15,360,15,1989-12-02,CHI,@,MIA,W 114-107,*,36:00,11,16,.688,0,0,,11,16,.688,.688,14,15,.933,2,3,5,7,0,1,5,4,36,30.1
16,361,16,1989-12-05,CHI,,DEN,W 119-99,*,33:00,15,27,.556,0,1,.000,15,26,.577,.556,5,5,1.000,8,9,17,7,1,1,1,0,35,36.0
17,362,17,1989-12-08,CHI,@,IND,L 104-106,*,46:00,14,25,.560,1,3,.333,13,22,.591,.580,7,9,.778,0,8,8,10,4,1,4,4,36,31.8
18,363,18,1989-12-09,CHI,,PHI,W 125-105,*,36:00,13,21,.619,3,6,.500,10,15,.667,.690,0,0,,0,9,9,9,1,0,1,3,29,27.3
19,364,19,1989-12-12,CHI,,DAL,W 105-97,*,41:00,18,29,.621,2,2,1.000,16,27,.593,.655,3,4,.750,1,6,7,7,2,1,2,1,41,35.2
20,365,20,1989-12-14,CHI,,ORL,W 124-113,*,25:00,14,20,.700,3,3,1.000,11,17,.647,.775,7,9,.778,2,5,7,5,2,0,1,2,38,35.4
21,366,21,1989-12-16,CHI,,CHH,W 115-104,*,41:00,13,28,.464,0,1,.000,13,27,.481,.464,7,10,.700,2,7,9,7,2,2,0,2,33,28.4
22,367,22,1989-12-19,CHI,,LAL,W 93-83,*,44:00,15,29,.517,2,4,.500,13,25,.520,.552,5,5,1.000,0,7,7,5,2,1,7,1,37,23.6
23,368,23,1989-12-20,CHI,@,ORL,L 109-110,*,45:00,20,37,.541,2,3,.667,18,34,.529,.568,10,10,1.000,1,4,5,7,4,0,3,3,52,40.7
24,369,24,1989-12-22,CHI,@,ATL,W 125-113,*,32:00,10,17,.588,2,3,.667,8,14,.571,.647,7,8,.875,0,4,4,4,2,0,4,4,29,21.1
25,370,25,1989-12-23,CHI,@,PHI,L 104-131,*,30:00,5,13,.385,0,1,.000,5,12,.417,.385,6,6,1.000,1,3,4,6,2,0,4,2,16,11.9
26,371,26,1989-12-26,CHI,,MIN,W 112-99,*,35:00,12,17,.706,3,5,.600,9,12,.750,.794,1,2,.500,1,1,2,4,4,1,3,4,28,24.4
27,372,27,1989-12-29,CHI,,SAS,W 101-97,*,42:00,10,26,.385,1,2,.500,9,24,.375,.404,13,15,.867,1,4,5,7,3,0,4,4,34,23.2
28,373,28,1989-12-30,CHI,@,WSB,W 117-112 (OT),*,43:00,13,26,.500,0,2,.000,13,24,.542,.500,2,2,1.000,1,6,7,10,4,3,3,4,28,26.0
29,374,29,1990-01-03,CHI,@,CLE,W 93-87,*,46:00,15,32,.469,0,3,.000,15,29,.517,.469,8,9,.889,1,7,8,8,4,0,1,4,38,31.0
30,375,30,1990-01-05,CHI,,ORL,W 127-116,*,41:00,19,31,.613,2,5,.400,17,26,.654,.645,3,3,1.000,0,4,4,6,4,0,3,4,43,33.7
31,376,31,1990-01-06,CHI,@,MIL,L 111-118,*,41:00,13,23,.565,3,7,.429,10,16,.625,.630,6,7,.857,1,8,9,5,5,1,6,3,35,28.8
32,377,32,1990-01-09,CHI,@,DET,L 90-100,*,34:00,6,17,.353,1,3,.333,5,14,.357,.382,3,4,.750,3,5,8,5,2,1,4,2,16,11.1
33,378,33,1990-01-10,CHI,@,IND,L 113-120,*,42:00,13,30,.433,1,3,.333,12,27,.444,.450,8,8,1.000,2,5,7,5,2,1,2,0,35,26.3
34,379,34,1990-01-12,CHI,@,CHH,W 107-95,*,40:00,19,28,.679,0,1,.000,19,27,.704,.679,7,9,.778,2,2,4,6,1,0,2,4,45,35.8
35,380,35,1990-01-13,CHI,,LAC,W 117-111,*,34:00,11,21,.524,2,4,.500,9,17,.529,.571,4,6,.667,0,5,5,10,4,0,0,1,28,29.0
36,381,36,1990-01-15,CHI,@,NYK,L 106-109,*,42:00,9,24,.375,0,2,.000,9,22,.409,.375,8,9,.889,1,3,4,8,3,0,5,3,26,16.4
37,382,37,1990-01-18,CHI,,GSW,W 132-107,*,33:00,17,30,.567,7,12,.583,10,18,.556,.683,3,3,1.000,3,9,12,8,1,2,2,3,44,39.4
38,383,38,1990-01-19,CHI,@,ATL,W 92-84,*,40:00,12,24,.500,0,3,.000,12,21,.571,.500,12,16,.750,3,6,9,3,7,0,7,1,36,28.0
39,384,39,1990-01-21,CHI,,NYK,W 117-109,*,41:00,10,17,.588,4,5,.800,6,12,.500,.706,18,20,.900,1,9,10,7,4,2,4,4,42,41.4
40,385,40,1990-01-23,CHI,,DET,L 95-107,*,45:00,11,31,.355,1,6,.167,10,25,.400,.371,9,11,.818,2,4,6,2,2,1,4,5,32,14.6
41,386,41,1990-01-26,CHI,@,PHI,L 109-120,*,42:00,12,27,.444,0,2,.000,12,25,.480,.444,7,9,.778,2,3,5,11,2,0,1,3,31,25.9
42,387,42,1990-01-27,CHI,,NJN,W 110-107,*,35:00,15,25,.600,1,3,.333,14,22,.636,.620,8,8,1.000,2,5,7,4,4,0,3,3,39,33.0
43,388,43,1990-01-29,CHI,,ATL,W 121-111,*,30:00,7,14,.500,0,2,.000,7,12,.583,.500,2,3,.667,2,5,7,9,1,1,4,2,16,14.7
44,389,44,1990-02-01,CHI,@,HOU,L 112-139,*,38:00,16,31,.516,0,2,.000,16,29,.552,.516,3,4,.750,2,4,6,5,2,0,3,0,35,24.4
45,390,45,1990-02-03,CHI,@,SAS,L 111-112,*,46:00,17,32,.531,2,4,.500,15,28,.536,.563,8,8,1.000,3,0,3,5,2,0,3,3,44,31.8
