Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,101,1,1986-11-01,CHI,@,NYK,W 108-103,*,41:00,15,31,.484,0,0,,15,31,.484,.484,20,22,.909,2,4,6,3,4,3,6,2,50,37.5
2,102,2,1986-11-02,CHI,@,CLE,W 94-89,*,39:00,16,31,.516,0,0,,16,31,.516,.516,9,12,.750,6,2,8,2,0,4,3,3,41,29.3
3,103,3,1986-11-04,CHI,,SAS,W 111-104,*,44:00,14,31,.452,0,1,.000,14,30,.467,.452,6,13,.462,3,5,8,5,4,2,6,2,34,20.8
4,104,4,1986-11-07,CHI,@,DET,L 109-115,*,42:00,11,26,.423,0,1,.000,11,25,.440,.423,11,15,.733,0,0,0,5,1,1,3,4,33,18.2
5,105,5,1986-11-08,CHI,,PHO,W 101-96,*,39:00,17,27,.630,0,0,,17,27,.630,.630,5,5,1.000,3,3,6,3,5,0,3,2,39,33.2
6,106,6,1986-11-11,CHI,,ATL,W 112-110,*,39:00,14,32,.438,0,0,,14,32,.438,.438,6,6,1.000,4,1,5,3,1,3,5,4,34,18.9
7,107,7,1986-11-12,CHI,@,WSB,L 99-101,*,39:00,9,25,.360,0,1,.000,9,24,.375,.360,10,12,.833,0,4,4,4,3,1,4,4,28,15.4
8,108,8,1986-11-14,CHI,,BOS,L 98-110,*,41:00,17,33,.515,1,1,1.000,16,32,.500,.530,13,14,.929,2,3,5,1,2,1,0,3,48,35.8
9,109,9,1986-11-21,CHI,,NYK,W 101-99,*,40:00,14,26,.538,0,0,,14,26,.538,.538,12,15,.800,1,5,6,4,3,2,2,2,40,32.8
10,110,10,1986-11-22,CHI,,WSB,W 93-84,*,39:00,10,26,.385,0,0,,10,26,.385,.385,2,3,.667,2,7,9,4,3,1,3,3,22,13.2
11,111,11,1986-11-26,CHI,@,DEN,L 107-109,*,41:00,13,31,.419,0,0,,13,31,.419,.419,11,14,.786,2,7,9,3,1,3,2,5,37,24.0
12,112,12,1986-11-28,CHI,@,LAL,L 103-110,*,45:00,19,43,.442,0,1,.000,19,42,.452,.442,3,4,.750,8,2,10,3,1,1,3,4,41,23.5
13,113,13,1986-11-29,CHI,@,GSW,L 106-113,*,42:00,11,30,.367,0,1,.000,11,29,.379,.367,18,19,.947,3,2,5,6,4,0,2,3,40,30.7
14,114,14,1986-12-02,CHI,@,SEA,W 115-109 (OT),*,48:00,13,30,.433,0,0,,13,30,.433,.433,14,15,.933,5,4,9,6,3,6,4,3,40,34.7
15,115,15,1986-12-03,CHI,@,UTA,L 94-99,*,40:00,17,33,.515,0,2,.000,17,31,.548,.515,11,13,.846,0,3,3,3,6,1,2,3,45,34.4
16,116,16,1986-12-05,CHI,@,PHO,L 112-114,*,41:00,15,37,.405,0,0,,15,37,.405,.405,13,17,.765,2,2,4,2,3,1,1,1,43,27.2
17,117,17,1986-12-06,CHI,@,SAS,L 97-106,*,44:00,18,38,.474,0,2,.000,18,36,.500,.474,7,7,1.000,5,0,5,3,1,1,2,4,43,27.3
18,118,18,1986-12-09,CHI,,DEN,W 106-100,*,42:00,16,30,.533,0,0,,16,30,.533,.533,8,9,.889,2,4,6,6,3,4,3,3,40,33.4
19,119,19,1986-12-10,CHI,@,ATL,L 95-123,*,39:00,15,25,.600,0,0,,15,25,.600,.600,11,12,.917,2,2,4,4,3,0,3,3,41,32.7
20,120,20,1986-12-12,CHI,@,MIL,W 106-93,*,39:00,16,24,.667,0,0,,16,24,.667,.667,9,11,.818,0,5,5,3,2,0,2,5,41,31.4
21,121,21,1986-12-13,CHI,,MIL,L 90-113,*,31:00,3,17,.176,0,0,,3,17,.176,.176,5,8,.625,0,4,4,2,0,1,2,2,11,-0.4
22,122,22,1986-12-16,CHI,,NJN,W 99-98,*,37:00,13,29,.448,0,1,.000,13,28,.464,.448,15,18,.833,2,3,5,1,0,0,4,5,41,21.7
23,123,23,1986-12-18,CHI,@,IND,W 97-88,*,39:00,15,27,.556,0,0,,15,27,.556,.556,11,12,.917,2,1,3,6,0,1,2,2,41,31.5
