Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,183,35,2014-01-03,GSW,@,ATL,W 101-100,*,39:37,8,17,.471,3,7,.429,5,10,.500,.559,2,2,1.000,1,4,5,6,0,1,3,1,21,15.7,12
36,184,36,2014-01-05,GSW,@,WAS,W 112-96,*,35:44,9,14,.643,6,9,.667,3,5,.600,.857,2,2,1.000,0,3,3,0,2,1,2,0,26,21.4,33
37,185,37,2014-01-07,GSW,@,MIL,W 101-80,*,26:20,6,18,.333,1,6,.167,5,12,.417,.361,2,4,.500,1,1,2,0,0,0,1,4,15,2.4,17
38,186,38,2014-01-08,GSW,@,BRK,L 98-102,*,43:29,5,15,.333,4,10,.400,1,5,.200,.467,0,0,,0,5,5,3,0,0,2,3,14,5.9,3
39,187,39,2014-01-10,GSW,,BOS,W 99-97,*,40:59,5,17,.294,3,7,.429,2,10,.200,.382,4,4,1.000,1,0,1,1,0,0,1,2,17,6.7,8
40,188,40,2014-01-15,GSW,,DEN,L 116-123,*,37:49,9,19,.474,1,5,.200,8,14,.571,.500,2,2,1.000,1,0,1,3,1,0,2,3,21,11.9,-8
41,189,41,2014-01-17,GSW,@,OKC,L 121-127,*,41:10,9,17,.529,6,9,.667,3,8,.375,.706,2,2,1.000,0,1,1,3,1,1,1,5,26,18.8,-6
42,190,42,2014-01-18,GSW,@,NOP,W 97-87,*,36:38,3,14,.214,2,7,.286,1,7,.143,.286,0,0,,0,2,2,1,2,0,1,1,8,1.3,14
43,191,43,2014-01-20,GSW,,IND,L 94-102,*,39:26,6,13,.462,5,10,.500,1,3,.333,.654,0,0,,0,0,0,1,0,0,2,2,17,8.2,-8
44,192,44,2014-01-24,GSW,,MIN,L 120-121,*,36:40,8,14,.571,2,4,.500,6,10,.600,.643,0,0,,1,0,1,2,0,0,0,2,18,12.7,-10
45,193,45,2014-01-26,GSW,,POR,W 103-88,*,38:29,6,21,.286,2,9,.222,4,12,.333,.333,3,3,1.000,0,1,1,4,1,0,1,3,17,6.6,18
46,194,46,2014-01-28,GSW,,WAS,L 85-88,*,40:23,5,17,.294,3,9,.333,2,8,.250,.382,0,0,,0,6,6,4,2,1,3,3,13,6.2,2
47,195,47,2014-01-30,GSW,,LAC,W 111-92,*,34:15,6,14,.429,1,3,.333,5,11,.455,.464,3,4,.750,0,1,1,3,3,0,0,1,16,13.2,16
48,196,48,2014-01-31,GSW,@,UTA,W 95-90,*,41:42,3,20,.150,2,6,.333,1,14,.071,.200,3,4,.750,0,5,5,2,0,1,1,3,11,-0.8,3
49,197,49,2014-02-04,GSW,,CHA,L 75-91,*,33:54,5,13,.385,2,4,.500,3,9,.333,.462,0,0,,0,1,1,0,1,1,2,3,12,3.7,-6
50,198,50,2014-02-06,GSW,,CHI,W 102-87,*,40:02,8,16,.500,3,6,.500,5,10,.500,.594,3,3,1.000,0,1,1,1,0,1,1,3,22,13.5,10
51,199,51,2014-02-08,GSW,@,PHO,L 109-122,*,39:25,6,13,.462,2,6,.333,4,7,.571,.538,3,4,.750,0,5,5,2,1,0,0,4,17,12.2,-10
52,200,52,2014-02-10,GSW,,PHI,W 123-80,*,23:07,2,9,.222,1,4,.250,1,5,.200,.278,1,1,1.000,0,5,5,3,0,1,0,1,6,4.4,29
53,201,53,2014-02-12,GSW,,MIA,L 110-111,*,35:28,7,15,.467,2,4,.500,5,11,.455,.533,1,2,.500,0,3,3,1,2,1,1,2,17,11.4,2
54,202,54,2014-02-19,GSW,@,SAC,W 101-92,*,38:21,6,14,.429,1,3,.333,5,11,.455,.464,5,5,1.000,0,4,4,5,3,1,2,3,18,15.8,18
55,203,55,2014-02-20,GSW,,HOU,W 102-99 (OT),*,33:59,6,18,.333,0,5,.000,6,13,.462,.333,0,0,,2,1,3,1,2,0,0,3,12,5.0,15
56,204,56,2014-02-22,GSW,,BRK,W 93-86,*,29:43,3,10,.300,0,2,.000,3,8,.375,.300,0,0,,0,6,6,3,2,1,1,5,6,3.8,19
57,205,57,2014-02-24,GSW,@,DET,W 104-96,*,29:28,8,12,.667,2,3,.667,6,9,.667,.750,1,1,1.000,0,3,3,2,0,0,3,1,19,12.7,-7
58,206,58,2014-02-26,GSW,@,CHI,L 83-103,*,23:32,3,8,.375,2,4,.500,1,4,.250,.500,0,0,,1,1,2,1,1,0,0,2,8,5.5,-18
59,207,59,2014-02-28,GSW,@,NYK,W 126-103,*,29:03,9,17,.529,5,10,.500,4,7,.571,.676,2,3,.667,0,3,3,1,1,0,0,1,25,18.5,15
60,208,60,2014-03-02,GSW,@,TOR,L 98-104,*,26:31,4,15,.267,2,7,.286,2,8,.250,.333,2,2,1.000,1,2,3,0,1,0,1,5,12,2.4,-1
61,209,61,2014-03-04,GSW,@,IND,W 98-96,*,41:14,10,20,.500,3,5,.600,7,15,.467,.575,2,2,1.000,1,4,5,2,0,1,1,1,25,17.6,2
62,210,62,2014-03-05,GSW,@,BOS,W 108-88,*,27:46,7,15,.467,1,8,.125,6,7,.857,.500,3,3,1.000,0,1,1,4,3,0,0,1,18,16.0,26
63,211,63,2014-03-07,GSW,,ATL,W 111-97,*,06:09,2,5,.400,0,0,,2,5,.400,.400,2,2,1.000,1,1,2,0,0,0,0,1,6,3.9,7
64,212,64,2014-03-09,GSW,,PHO,W 113-107,*,35:07,9,15,.600,4,6,.667,5,9,.556,.733,0,2,.000,0,4,4,2,0,1,1,4,22,15.0,18
65,213,65,2014-03-11,GSW,,DAL,W 108-85,*,23:50,6,10,.600,2,2,1.000,4,8,.500,.700,0,0,,0,3,3,1,1,0,5,4,14,5.4,11
66,214,66,2014-03-12,GSW,@,LAC,L 98-111,*,34:08,10,19,.526,4,6,.667,6,13,.462,.632,2,4,.500,0,1,1,1,1,0,3,2,26,14.1,-4
66,,67,2014-03-14,GSW,,CLE,L 94-103,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
67,215,68,2014-03-16,GSW,@,POR,W 113-112,*,38:50,10,19,.526,3,7,.429,7,12,.583,.605,4,6,.667,1,3,4,0,1,2,2,4,27,17.3,-2
68,216,69,2014-03-18,GSW,,ORL,W 103-89,*,32:42,7,14,.500,4,5,.800,3,9,.333,.643,2,2,1.000,0,3,3,2,0,0,1,4,20,12.7,20
69,217,70,2014-03-20,GSW,,MIL,W 115-110,*,39:56,11,23,.478,3,11,.273,8,12,.667,.543,4,4,1.000,0,2,2,1,0,1,1,5,29,16.3,5
70,218,71,2014-03-22,GSW,,SAS,L 90-99,*,37:09,7,16,.438,1,3,.333,6,13,.462,.469,1,2,.500,0,2,2,3,1,0,3,3,16,6.7,-3
71,219,72,2014-03-28,GSW,,MEM,W 100-93,*,36:10,6,16,.375,0,3,.000,6,13,.462,.375,2,2,1.000,1,3,4,5,1,0,2,3,14,8.1,9
72,220,73,2014-03-30,GSW,,NYK,L 84-89,*,36:40,6,18,.333,3,11,.273,3,7,.429,.417,0,0,,1,8,9,0,0,0,2,5,15,3.9,2
73,221,74,2014-04-01,GSW,@,DAL,W 122-120 (OT),*,47:10,11,24,.458,4,9,.444,7,15,.467,.542,1,1,1.000,0,5,5,5,1,0,2,3,27,17.4,6
74,222,75,2014-04-02,GSW,@,SAS,L 90-111,*,32:43,5,8,.625,3,3,1.000,2,5,.400,.813,2,2,1.000,0,2,2,2,0,0,0,2,15,12.6,-25
75,223,76,2014-04-04,GSW,,SAC,W 102-69,*,23:32,8,12,.667,2,3,.667,6,9,.667,.750,3,3,1.000,0,2,2,1,0,1,1,1,21,16.4,22
76,224,77,2014-04-06,GSW,,UTA,W 130-102,*,30:36,11,20,.550,7,10,.700,4,10,.400,.725,4,4,1.000,0,3,3,1,1,0,0,1,33,25.6,28
77,225,78,2014-04-10,GSW,,DEN,L 99-100,*,30:14,8,19,.421,3,6,.500,5,13,.385,.500,2,2,1.000,1,1,2,1,0,0,2,2,21,9.8,-6
78,226,79,2014-04-11,GSW,@,LAL,W 112-95,*,36:35,6,15,.400,2,6,.333,4,9,.444,.467,2,5,.400,1,2,3,4,0,1,2,2,16,8.7,13
79,227,80,2014-04-13,GSW,@,POR,L 117-119 (OT),*,31:59,9,17,.529,6,10,.600,3,7,.429,.706,1,2,.500,0,2,2,2,2,0,1,6,25,16.9,7
80,228,81,2014-04-14,GSW,,MIN,W 130-120,*,36:01,7,20,.350,2,12,.167,5,8,.625,.400,4,4,1.000,1,4,5,1,0,1,1,4,20,9.5,13
81,229,82,2014-04-16,GSW,@,DEN,W 116-112,*,07:36,3,5,.600,2,4,.500,1,1,1.000,.800,0,0,,0,1,1,1,0,0,0,0,8,6.7,10
,,,,,,,51-30,81,2867,559,1259,.444,223,535,.417,336,724,.464,.533,147,185,.795,38,211,249,181,74,37,135,234,1488,11.1,535
