Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,13,1,2014-04-19,GSW,@,LAC,W 109-105,*,41:07,7,20,.350,4,7,.571,3,13,.231,.450,4,6,.667,2,5,7,5,0,1,4,4,22,11.5,4
2,14,2,2014-04-21,GSW,@,LAC,L 98-138,*,20:06,2,4,.500,1,2,.500,1,2,.500,.625,2,2,1.000,0,0,0,2,2,1,1,4,7,6.5,-14
3,15,3,2014-04-24,GSW,,LAC,L 96-98,*,41:56,10,22,.455,2,11,.182,8,11,.727,.500,4,4,1.000,1,5,6,1,1,1,3,1,26,15.8,6
4,16,4,2014-04-27,GSW,,LAC,W 118-97,*,28:56,5,13,.385,3,8,.375,2,5,.400,.500,2,4,.500,0,5,5,5,1,0,3,6,15,7.7,12
5,17,5,2014-04-29,GSW,@,LAC,L 103-113,*,44:46,9,17,.529,3,7,.429,6,10,.600,.618,0,0,,0,5,5,4,2,0,2,5,21,15.0,-10
6,18,6,2014-05-01,GSW,,LAC,W 100-99,*,41:22,3,11,.273,1,4,.250,2,7,.286,.318,2,2,1.000,1,0,1,1,0,1,0,2,9,3.8,-6
7,19,7,2014-05-03,GSW,@,LAC,L 121-126,*,38:31,4,11,.364,2,5,.400,2,6,.333,.455,5,6,.833,0,0,0,7,1,1,2,2,15,12.3,-12
,,,,,,,3-4,7,257,40,98,.408,16,44,.364,24,54,.444,.490,19,24,.792,4,20,24,25,7,5,15,24,115,10.4,-20
