Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,510,1,1991-11-01,CHI,,PHI,W 110-90,*,30:00,11,18,.611,0,3,.000,11,15,.733,.611,4,6,.667,1,4,5,4,3,1,2,2,26,22.6
2,511,2,1991-11-02,CHI,@,MIL,L 107-109,*,42:00,19,29,.655,1,2,.500,18,27,.667,.672,7,7,1.000,0,3,3,3,5,1,4,1,46,37.6
3,512,3,1991-11-05,CHI,,GSW,L 110-118,*,46:00,17,22,.773,1,2,.500,16,20,.800,.795,5,8,.625,2,5,7,4,1,1,5,5,40,30.6
4,513,4,1991-11-06,CHI,@,BOS,W 132-113,*,38:00,16,26,.615,3,4,.750,13,22,.591,.673,9,9,1.000,0,3,3,6,1,1,2,2,44,36.2
5,514,5,1991-11-08,CHI,,DAL,W 108-92,*,36:00,10,15,.667,0,0,,10,15,.667,.667,6,8,.750,1,6,7,5,4,0,0,1,26,28.3
6,515,6,1991-11-09,CHI,,ORL,W 107-76,*,35:00,13,26,.500,0,3,.000,13,23,.565,.500,1,1,1.000,2,3,5,9,3,1,1,2,27,24.5
7,516,7,1991-11-12,CHI,,DET,W 110-93,*,29:00,8,14,.571,0,1,.000,8,13,.615,.571,4,5,.800,0,3,3,4,3,0,0,4,20,18.1
8,517,8,1991-11-13,CHI,@,CHH,W 117-95,*,33:00,11,19,.579,1,3,.333,10,16,.625,.605,12,12,1.000,1,5,6,5,3,3,2,1,35,34.5
9,518,9,1991-11-15,CHI,,MIL,W 114-101,*,37:00,5,10,.500,0,0,,5,10,.500,.500,7,8,.875,2,5,7,11,1,0,3,2,17,19.4
10,519,10,1991-11-20,CHI,@,GSW,W 112-108,*,45:00,12,25,.480,0,0,,12,25,.480,.480,11,13,.846,1,8,9,7,3,1,3,3,35,29.0
11,520,11,1991-11-22,CHI,@,SEA,W 112-109 (OT),*,45:00,11,26,.423,0,1,.000,11,25,.440,.423,9,10,.900,1,5,6,4,2,0,1,6,31,20.4
12,521,12,1991-11-23,CHI,@,DEN,W 107-100,*,41:00,15,28,.536,0,1,.000,15,27,.556,.536,7,7,1.000,0,6,6,3,0,1,2,5,37,24.0
13,522,13,1991-11-26,CHI,@,LAC,W 116-79,*,33:00,11,19,.579,0,2,.000,11,17,.647,.579,1,2,.500,1,9,10,5,1,0,6,3,23,14.4
14,523,14,1991-11-29,CHI,@,POR,W 116-114 (2OT),*,51:00,16,39,.410,0,1,.000,16,38,.421,.410,8,10,.800,3,5,8,7,3,1,3,4,40,25.9
15,524,15,1991-11-30,CHI,@,SAC,W 118-102,*,39:00,13,21,.619,0,2,.000,13,19,.684,.619,4,9,.444,0,6,6,8,0,1,2,4,30,23.0
16,525,16,1991-12-04,CHI,,CLE,W 108-102,*,41:00,7,20,.350,0,1,.000,7,19,.368,.350,2,2,1.000,1,8,9,9,3,0,7,4,16,8.6
17,526,17,1991-12-06,CHI,,CHH,W 114-96,*,34:00,8,19,.421,1,2,.500,7,17,.412,.447,2,4,.500,1,10,11,10,1,0,1,3,19,17.6
18,527,18,1991-12-07,CHI,@,PHI,L 100-103,*,41:00,12,25,.480,0,1,.000,12,24,.500,.480,8,10,.800,3,11,14,9,3,1,4,2,32,29.1
19,528,19,1991-12-10,CHI,,SEA,W 108-103,*,39:00,7,20,.350,0,1,.000,7,19,.368,.350,5,8,.625,3,8,11,1,0,1,1,3,19,10.3
20,529,20,1991-12-13,CHI,,NYK,W 99-89,*,43:00,9,18,.500,0,2,.000,9,16,.563,.500,9,12,.750,1,7,8,6,4,0,3,2,27,24.0
21,530,21,1991-12-14,CHI,@,WSB,W 113-100,*,33:00,12,19,.632,0,1,.000,12,18,.667,.632,5,8,.625,3,6,9,1,2,3,1,3,29,25.8
22,531,22,1991-12-17,CHI,,LAL,L 89-102,*,38:00,6,20,.300,0,3,.000,6,17,.353,.300,9,10,.900,0,4,4,7,3,3,0,3,21,19.0
23,532,23,1991-12-20,CHI,@,NJN,W 115-98,*,30:00,8,18,.444,0,0,,8,18,.444,.444,8,8,1.000,1,4,5,4,1,2,0,0,24,21.7
24,533,24,1991-12-21,CHI,,ATL,W 117-103,*,43:00,16,24,.667,2,2,1.000,14,22,.636,.708,3,3,1.000,1,8,9,10,4,1,3,2,37,37.6
25,534,25,1991-12-25,CHI,,BOS,W 121-99,*,35:00,6,14,.429,0,1,.000,6,13,.462,.429,2,2,1.000,1,7,8,5,2,3,2,2,14,14.2
26,535,26,1991-12-26,CHI,@,ATL,W 122-111,*,44:00,15,31,.484,1,2,.500,14,29,.483,.500,3,4,.750,1,2,3,6,2,3,4,1,34,23.1
27,536,27,1991-12-28,CHI,,SAC,W 127-118,*,36:00,11,20,.550,0,1,.000,11,19,.579,.550,11,12,.917,0,2,2,8,3,3,6,5,33,26.3
28,537,28,1991-12-30,CHI,@,IND,W 109-104,*,44:00,10,19,.526,0,1,.000,10,18,.556,.526,9,11,.818,2,4,6,7,3,2,4,4,29,25.2
29,538,29,1992-01-03,CHI,@,MIL,L 108-113,*,40:00,19,29,.655,0,2,.000,19,27,.704,.655,6,8,.750,2,4,6,7,1,0,1,4,44,36.4
30,539,30,1992-01-04,CHI,,NJN,W 140-96,*,32:00,12,20,.600,0,0,,12,20,.600,.600,3,4,.750,2,3,5,1,1,2,0,1,27,22.4
31,540,31,1992-01-07,CHI,,WSB,W 102-89,*,37:00,7,15,.467,1,1,1.000,6,14,.429,.500,6,6,1.000,0,5,5,9,4,1,3,3,21,21.6
32,541,32,1992-01-08,CHI,@,MIA,W 108-106,*,47:00,17,27,.630,0,0,,17,27,.630,.630,6,9,.667,0,6,6,8,1,2,4,3,40,31.3
33,542,33,1992-01-10,CHI,,UTA,W 105-90,*,37:00,15,25,.600,1,2,.500,14,23,.609,.620,6,6,1.000,1,4,5,4,1,1,2,3,37,28.7
34,543,34,1992-01-11,CHI,,MIA,W 108-99,*,39:00,10,19,.526,0,0,,10,19,.526,.526,10,10,1.000,0,6,6,7,1,1,1,4,30,26.5
35,544,35,1992-01-14,CHI,,PHI,W 103-80,*,33:00,11,20,.550,0,1,.000,11,19,.579,.550,4,4,1.000,0,5,5,4,5,2,2,0,26,25.1
36,545,36,1992-01-16,CHI,@,CLE,W 100-85,*,39:00,15,26,.577,0,2,.000,15,24,.625,.577,5,6,.833,0,4,4,8,2,1,2,4,35,28.3
37,546,37,1992-01-17,CHI,,SAS,W 102-96,*,38:00,10,23,.435,1,1,1.000,9,22,.409,.457,10,10,1.000,0,4,4,8,1,0,1,3,31,24.5
38,547,38,1992-01-19,CHI,@,DET,W 87-85,*,45:00,12,27,.444,0,2,.000,12,25,.480,.444,10,14,.714,0,6,6,6,2,0,3,3,34,22.1
39,548,39,1992-01-21,CHI,,PHO,W 108-102,*,41:00,13,23,.565,0,0,,13,23,.565,.565,4,5,.800,2,3,5,7,5,1,4,3,30,26.4
40,549,40,1992-01-22,CHI,@,CHH,W 115-112,*,43:00,7,18,.389,1,2,.500,6,16,.375,.417,8,8,1.000,2,4,6,4,2,2,5,2,23,16.2
41,550,41,1992-01-24,CHI,,DET,W 117-93,*,30:00,9,14,.643,0,0,,9,14,.643,.643,2,2,1.000,1,1,2,5,0,2,2,0,20,17.7
42,551,42,1992-01-25,CHI,,HOU,W 114-100,*,41:00,12,27,.444,3,3,1.000,9,24,.375,.500,8,10,.800,0,3,3,5,4,1,4,2,35,24.4
43,552,43,1992-01-28,CHI,@,SAS,L 104-109,*,44:00,15,31,.484,0,1,.000,15,30,.500,.484,9,11,.818,0,9,9,7,4,0,3,3,39,29.9
44,553,44,1992-01-30,CHI,@,HOU,L 102-105,*,43:00,9,26,.346,0,1,.000,9,25,.360,.346,4,4,1.000,2,3,5,5,3,0,1,3,22,14.0
45,554,45,1992-01-31,CHI,@,DAL,W 107-92,*,37:00,10,17,.588,0,1,.000,10,16,.625,.588,5,6,.833,2,8,10,9,1,0,1,3,25,25.6
46,555,46,1992-02-02,CHI,@,LAL,W 103-97,*,44:00,13,27,.481,1,1,1.000,12,26,.462,.500,6,8,.750,0,8,8,11,2,0,5,4,33,24.0
47,556,47,1992-02-03,CHI,@,UTA,L 123-126 (3OT),*,56:00,13,34,.382,1,1,1.000,12,33,.364,.397,7,9,.778,2,11,13,8,2,1,2,5,34,23.6
48,557,49,1992-02-11,CHI,,NJN,W 133-113,*,34:00,13,23,.565,0,0,,13,23,.565,.565,8,9,.889,1,5,6,7,4,2,3,2,34,31.4
49,558,50,1992-02-13,CHI,@,NYK,W 106-85,*,35:00,4,15,.267,0,0,,4,15,.267,.267,9,11,.818,0,2,2,5,1,0,1,1,17,11.0
50,559,51,1992-02-15,CHI,,NYK,W 99-98,*,42:00,9,24,.375,0,0,,9,24,.375,.375,11,12,.917,1,4,5,2,2,2,3,3,29,17.9
51,560,52,1992-02-17,CHI,,CLE,L 112-113,*,43:00,21,32,.656,0,1,.000,21,31,.677,.656,4,5,.800,1,3,4,6,0,0,3,1,46,34.0
52,561,53,1992-02-19,CHI,@,ORL,W 112-99,*,38:00,11,23,.478,0,1,.000,11,22,.500,.478,5,7,.714,5,5,10,8,2,0,3,1,27,23.7
53,562,54,1992-02-21,CHI,@,ATL,W 103-88,*,46:00,14,23,.609,0,0,,14,23,.609,.609,5,6,.833,1,9,10,14,4,0,4,2,33,34.5
54,563,55,1992-02-22,CHI,,MIN,W 105-90,*,35:00,13,27,.481,0,3,.000,13,24,.542,.481,4,6,.667,2,4,6,8,1,2,1,2,30,24.3
55,564,56,1992-02-25,CHI,@,DET,L 106-108,*,42:00,11,22,.500,0,0,,11,22,.500,.500,1,3,.333,1,3,4,6,4,1,1,2,23,19.9
56,565,57,1992-02-26,CHI,,WSB,W 122-103,*,27:00,10,17,.588,1,3,.333,9,14,.643,.618,5,6,.833,2,2,4,1,2,0,0,0,26,22.4
57,566,58,1992-02-28,CHI,@,MIL,W 109-105,*,41:00,8,18,.444,0,0,,8,18,.444,.444,8,10,.800,1,5,6,6,2,2,2,2,24,20.8
58,567,59,1992-03-01,CHI,,POR,W 111-91,*,36:00,10,23,.435,0,2,.000,10,21,.476,.435,11,12,.917,0,9,9,7,3,0,5,3,31,22.9
59,568,60,1992-03-03,CHI,,IND,L 101-103,*,39:00,12,21,.571,0,0,,12,21,.571,.571,3,5,.600,2,5,7,5,0,1,2,3,27,20.2
60,569,61,1992-03-05,CHI,@,MIN,W 113-100,*,39:00,14,26,.538,0,0,,14,26,.538,.538,5,5,1.000,1,4,5,5,1,1,1,3,33,25.3
61,570,62,1992-03-06,CHI,,MIA,W 123-81,*,28:00,12,20,.600,0,1,.000,12,19,.632,.600,3,3,1.000,0,6,6,2,2,1,2,2,27,20.9
62,571,63,1992-03-08,CHI,@,PHI,W 103-99,*,43:00,12,26,.462,0,1,.000,12,25,.480,.462,10,13,.769,3,8,11,8,1,0,1,3,34,28.3
63,572,64,1992-03-11,CHI,,BOS,W 119-85,*,35:00,14,23,.609,0,0,,14,23,.609,.609,4,4,1.000,0,13,13,3,0,2,4,2,32,24.1
64,573,65,1992-03-14,CHI,@,ORL,W 112-96,*,38:00,11,22,.500,0,1,.000,11,21,.524,.500,4,4,1.000,1,9,10,9,5,0,3,1,26,26.3
65,574,66,1992-03-16,CHI,@,MIA,W 116-100,*,39:00,15,27,.556,0,2,.000,15,25,.600,.556,7,7,1.000,2,7,9,13,0,1,3,1,37,34.0
66,575,67,1992-03-17,CHI,@,NJN,W 90-79,*,45:00,16,32,.500,0,0,,16,32,.500,.500,8,12,.667,4,6,10,4,2,2,1,3,40,31.0
67,576,68,1992-03-19,CHI,@,WSB,W 106-100,*,43:00,19,30,.633,1,1,1.000,18,29,.621,.650,12,15,.800,2,9,11,3,1,1,0,3,51,43.1
68,577,69,1992-03-21,CHI,,ORL,L 108-111,*,38:00,10,22,.455,0,0,,10,22,.455,.455,5,7,.714,6,9,15,4,2,1,3,1,25,21.8
69,578,70,1992-03-24,CHI,,DEN,W 116-103,*,41:00,18,31,.581,2,3,.667,16,28,.571,.613,12,13,.923,0,6,6,6,3,0,3,0,50,41.1
70,579,71,1992-03-28,CHI,,CLE,W 126-102,*,37:00,21,32,.656,0,1,.000,21,31,.677,.656,2,2,1.000,0,4,4,6,3,0,1,2,44,36.6
71,580,72,1992-03-31,CHI,@,NYK,W 96-90,*,40:00,13,23,.565,0,1,.000,13,22,.591,.565,10,12,.833,3,1,4,3,3,1,3,1,36,29.1
72,581,73,1992-04-01,CHI,,CHH,W 100-94,*,39:00,11,22,.500,1,3,.333,10,19,.526,.523,8,10,.800,1,1,2,5,3,0,2,2,31,23.9
73,582,74,1992-04-03,CHI,,LAC,W 114-103,*,42:00,5,17,.294,0,2,.000,5,15,.333,.294,5,6,.833,0,6,6,7,2,0,5,4,15,6.8
74,583,75,1992-04-05,CHI,@,BOS,L 86-97,*,40:00,12,28,.429,0,3,.000,12,25,.480,.429,2,2,1.000,0,2,2,2,3,0,3,4,26,11.6
75,584,76,1992-04-07,CHI,,MIL,W 116-101,*,37:00,12,22,.545,2,5,.400,10,17,.588,.591,4,4,1.000,0,5,5,7,6,1,3,3,30,28.3
76,585,77,1992-04-10,CHI,@,IND,W 108-96,*,42:00,16,30,.533,1,1,1.000,15,29,.517,.550,2,4,.500,0,4,4,6,4,0,1,3,35,26.8
77,586,78,1992-04-11,CHI,,IND,W 108-106,*,37:00,8,20,.400,0,0,,8,20,.400,.400,7,7,1.000,1,4,5,8,5,1,1,2,23,23.6
78,587,79,1992-04-13,CHI,,ATL,W 100-93,*,23:00,6,12,.500,0,1,.000,6,11,.545,.500,0,0,,0,1,1,7,3,1,2,1,12,12.5
79,588,81,1992-04-17,CHI,@,ATL,W 121-95,*,32:00,9,16,.563,0,0,,9,16,.563,.563,3,4,.750,1,3,4,8,0,0,5,4,21,13.6
80,589,82,1992-04-19,CHI,,DET,W 103-85,*,39:00,9,17,.529,0,0,,9,17,.529,.529,14,15,.933,0,2,2,7,2,1,7,2,32,23.7
,,,,,,,67-13,80,3102,943,1818,.519,27,100,.270,916,1718,.533,.526,491,590,.832,91,420,511,489,182,75,200,201,2404,24.4
