Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,590,1,1992-11-06,CHI,@,CLE,W 101-96,*,37:00,12,26,.462,0,2,.000,12,24,.500,.462,5,6,.833,3,3,6,2,3,3,2,1,29,22.3
2,591,2,1992-11-07,CHI,,ATL,L 99-100,*,39:00,13,29,.448,1,4,.250,12,25,.480,.466,8,9,.889,0,4,4,11,4,0,6,4,35,24.8
3,592,3,1992-11-09,CHI,,IND,W 102-97,*,42:00,10,20,.500,0,1,.000,10,19,.526,.500,4,5,.800,0,2,2,12,2,0,4,1,24,20.2
4,593,4,1992-11-11,CHI,,DET,W 98-96 (OT),*,52:00,13,24,.542,3,3,1.000,10,21,.476,.604,8,10,.800,2,8,10,4,0,1,5,1,37,26.5
5,594,5,1992-11-13,CHI,@,MIL,W 101-96,*,42:00,14,31,.452,0,2,.000,14,29,.483,.452,6,8,.750,3,3,6,4,3,2,5,2,34,21.5
6,595,6,1992-11-14,CHI,,DEN,W 117-84,*,22:00,7,13,.538,2,5,.400,5,8,.625,.615,2,2,1.000,0,4,4,7,3,1,2,1,18,19.1
7,596,7,1992-11-17,CHI,@,MIN,W 124-103,*,31:00,14,21,.667,2,2,1.000,12,19,.632,.714,2,3,.667,1,2,3,5,4,1,3,1,32,28.6
8,597,8,1992-11-19,CHI,@,SEA,W 108-99,*,34:00,14,22,.636,2,4,.500,12,18,.667,.682,5,5,1.000,1,5,6,2,2,0,2,1,35,28.4
9,598,9,1992-11-20,CHI,@,LAL,L 118-120 (OT),*,47:00,21,39,.538,1,2,.500,20,37,.541,.551,11,14,.786,5,8,13,7,1,3,5,4,54,41.2
10,599,10,1992-11-22,CHI,@,PHO,W 128-111,*,39:00,16,27,.593,0,2,.000,16,25,.640,.593,8,8,1.000,0,3,3,7,3,4,1,1,40,37.7
11,600,11,1992-11-24,CHI,@,GSW,W 101-92,*,44:00,18,30,.600,1,3,.333,17,27,.630,.617,12,14,.857,2,3,5,7,1,1,3,2,49,39.5
12,601,12,1992-11-28,CHI,@,NYK,L 75-112,*,38:00,4,20,.200,0,1,.000,4,19,.211,.200,9,9,1.000,3,3,6,4,1,0,0,2,17,10.6
13,602,14,1992-12-04,CHI,,POR,W 111-99,*,38:00,15,25,.600,1,1,1.000,14,24,.583,.620,7,9,.778,4,9,13,2,1,0,1,1,38,32.2
14,603,15,1992-12-05,CHI,,BOS,W 96-89,*,37:00,8,20,.400,0,1,.000,8,19,.421,.400,8,9,.889,0,3,3,5,2,0,2,2,24,16.4
