Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,112,1,1995-04-28,CHI,@,CHH,W 108-100 (OT),*,47:00,18,32,.563,1,4,.250,17,28,.607,.578,11,11,1.000,1,8,9,8,1,1,3,1,48,39.8
2,113,2,1995-04-30,CHI,@,CHH,L 89-106,*,40:00,13,25,.520,3,6,.500,10,19,.526,.580,3,6,.500,3,4,7,7,0,0,5,5,32,19.7
3,114,3,1995-05-02,CHI,,CHH,W 103-80,*,38:00,9,19,.474,1,2,.500,8,17,.471,.500,6,7,.857,2,4,6,3,4,2,6,3,25,17.8
4,115,4,1995-05-04,CHI,,CHH,W 85-84,*,41:00,8,21,.381,3,5,.600,5,16,.313,.452,5,6,.833,1,3,4,5,3,0,3,4,24,15.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,116,5,1995-05-07,CHI,@,ORL,L 91-94,*,40:00,8,22,.364,0,2,.000,8,20,.400,.364,3,5,.600,2,3,5,3,1,0,8,2,19,2.6
6,117,6,1995-05-10,CHI,@,ORL,W 104-94,*,43:00,17,30,.567,1,1,1.000,16,29,.552,.583,3,8,.375,3,4,7,3,4,4,2,4,38,30.4
7,118,7,1995-05-12,CHI,,ORL,L 101-110,*,43:00,15,31,.484,0,3,.000,15,28,.536,.484,10,10,1.000,4,3,7,4,0,1,4,3,40,26.3
8,119,8,1995-05-14,CHI,,ORL,W 106-95,*,44:00,9,21,.429,0,1,.000,9,20,.450,.429,8,8,1.000,2,5,7,3,4,0,4,2,26,19.1
9,120,9,1995-05-16,CHI,@,ORL,L 95-103,*,45:00,15,28,.536,1,4,.250,14,24,.583,.554,8,8,1.000,0,4,4,2,2,2,0,1,39,31.0
10,121,10,1995-05-18,CHI,,ORL,L 102-108,*,39:00,8,19,.421,1,2,.500,7,17,.412,.447,7,10,.700,2,7,9,7,4,4,6,5,24,19.9
